CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
NZL_NP,2010,52,m,5.15088195386703,68.849118046133,62.0744704083861,89.5395646793332,64.3859649122807,290,0.000575642885912116,0.00254982575025557,0.0213920805454441,0.0569396357819051,0.151197368436898,0.00709919955274733,1,0,0
NZL_NP,2010,52,f,3.54547255795522,42.4545274420448,33.7638072855464,64.3522431396903,103.883949574763,248,0.000416971192250616,0.00149987767056218,0.0109091088532282,0.0332997087075016,0.121789331165644,0.00580949254255027,1,0,0
NZL_NP,2010,52,b,8.69635451182225,111.303645488178,95.8382776939325,153.891807819023,168.269914487044,538,0.00049833070170234,0.00201247574146887,0.0159816747646233,0.0439057181658737,0.131582047689946,0.00644014975191295,1,0,0
NZL_NP,2011,1,m,4.69982453772439,68.3001754622756,53.5249346576058,80.5891274718701,65.8859378705241,273,0.000523584031542104,0.00251893157781262,0.0176624627862313,0.0503481823919371,0.145961121239548,0.00663048460164707,1,0,0
NZL_NP,2011,1,f,2.98571152732188,44.0142884726781,43.7077177964932,75.1676414783244,125.124640725182,291,0.000349890937263814,0.00154657386443964,0.0135459797202055,0.0385544386171013,0.142980190183196,0.00676054414642662,1,0,0
NZL_NP,2011,1,b,7.68553606504627,112.314463934954,97.232652454099,155.756768950194,191.010578595706,564,0.000438934712946859,0.00202099076600332,0.0155396867802998,0.0438716145894762,0.143994559577024,0.00669695864231369,1,0,0
NZL_NP,2011,2,m,4.0560129572142,58.9439870427858,59.9949817041296,83.9324548621497,64.0725634337207,271,0.00045186019160483,0.00217387245756431,0.0197974857603911,0.0524369313649362,0.141943842673322,0.00658190962288042,1,0,0
NZL_NP,2011,2,f,3.49391774473837,51.5060822552616,38.462791660914,66.7394524248698,111.797755914216,272,0.000409446841478931,0.00180982047966341,0.0119204621537809,0.034231513338031,0.127751530873743,0.00631913404751904,1,0,0
NZL_NP,2011,2,b,7.54993070195257,110.450069298047,98.4577733650436,150.67190728702,175.870319347937,543,0.000431190048082909,0.00198744277749531,0.0157354851540309,0.0424393744843997,0.13258097725979,0.00644760379924882,1,0,0
NZL_NP,2011,3,m,3.92725064111216,57.0727493588878,53.5249346576058,76.2381670734826,59.2368982689115,250,0.000437515423617375,0.00210486063351465,0.0176624627862313,0.047629913134157,0.131231099830052,0.00607187234583065,1,0,0
NZL_NP,2011,3,f,3.36686619038424,49.6331338096158,26.8074002485158,60.2121664107811,116.980433340703,257,0.000394557865425152,0.00174400882585747,0.0083082008950594,0.0308835853863602,0.133673787271864,0.00597065239048674,1,0,0
NZL_NP,2011,3,b,7.2941168314964,106.705883168504,80.3323349061216,136.450333484264,176.217331609615,507,0.000416580060328485,0.0019200697488675,0.0128386842409815,0.0384336198136039,0.132842574696725,0.00602013835399475,1,0,0
NZL_NP,2011,4,m,4.82858685382643,70.1714131461736,36.4675378985886,67.4598986676907,64.0725634337207,243,0.000537928799529559,0.00258794340186228,0.0120337658543554,0.0421456763314387,0.141943842673322,0.00590185992014739,1,0,0
NZL_NP,2011,4,f,2.85865997296775,42.1413400270322,43.1249482258733,70.8561483914162,114.018903382711,273,0.000335001961210035,0.0014807622106337,0.0133653666572695,0.0363430190182145,0.130289640758652,0.00634236615798786,1,0,0
NZL_NP,2011,4,b,7.68724682679418,112.312753173206,79.5924861244619,138.316047059107,178.091466816432,516,0.000439032417610579,0.0020209599824909,0.0127204418806057,0.0389591306305113,0.134255403638857,0.00612700471530827,1,0,0
NZL_NP,2011,5,m,5.47239843433662,79.5276015656634,60.5831677992682,91.0684802917918,74.34835190894,311,0.000609652639466834,0.00293300252211058,0.019991578758042,0.0568951743209792,0.164708421215269,0.00755340919821333,1,0,0
NZL_NP,2011,5,f,3.87507240780073,57.1249275921993,33.2178655253348,64.2824661129584,115.499668361707,274,0.000454113769640269,0.00200725544108124,0.0102949445873562,0.0329712938329004,0.131981714015258,0.00636559826845668,1,0,0
NZL_NP,2011,5,b,9.34747084213735,136.652529157863,93.801033324603,155.35094640475,189.848020270647,585,0.000533850781018746,0.00245893084384024,0.0149912466722113,0.0437573075810204,0.143118157467621,0.00694631348537856,1,0,0
NZL_NP,2011,6,m,4.44229990552031,64.5577000944797,57.054051228437,90.9708479890162,77.9751007825468,295,0.000494894495567194,0.0023809079297133,0.0188270207721366,0.0568341783883801,0.172742978347722,0.00716480936808017,1,0,0
NZL_NP,2011,6,f,2.60455686425951,38.3954431357405,42.5421786552533,69.6600654305304,111.797755914216,265,0.000305224009102476,0.00134913890302182,0.0131847535943334,0.0357295328666006,0.127751530873743,0.0061565092742373,1,0,0
NZL_NP,2011,6,b,7.04685676977982,102.95314323022,99.5962298836903,160.630913419547,189.772856696763,560,0.000402458595892662,0.00185254280267761,0.0159174328564358,0.0452445025163003,0.143061494921508,0.00664946248172991,1,0,0
NZL_NP,2011,7,m,3.86286948306114,56.1371305169389,55.2894929430214,82.6156528952522,67.0948541617263,265,0.000430343039623647,0.00207035472148982,0.018244741779184,0.0516142572935913,0.148639306950365,0.00643618468658049,1,0,0
NZL_NP,2011,7,f,2.98571152732188,44.0142884726781,39.6283308021538,68.0931483046337,113.278520893212,268,0.000349890937263814,0.00154657386443964,0.012281688279653,0.0349258411588344,0.129443604130349,0.00622620560564376,1,0,0
NZL_NP,2011,7,b,6.84858101038302,100.151418989617,94.9178237451752,150.708801199886,180.373375054938,533,0.000391134712587896,0.00180212846937833,0.0151697317067847,0.0424497662993871,0.135975634917222,0.00632886339778936,1,0,0
