"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","50-54 years",699,429
" ","55-59 years",1029,549
" ","60-64 years",1278,732
" ","65-69 years",1488,939
" ","70-74 years",1431,1167
" ","75-79 years",1629,1527
" ","80-84 years",1395,1584
" ","85-89 years",906,1278
" ","90-94 years",309,495
" ","95-99 years",72,120
" ","100 years and over",9,15
" ","Less than 1 year",639,465
" ","1 year",60,36
" ","2 years",30,27
" ","3 years",30,30
" ","4 years",21,24
" ","5 years",21,9
" ","6 years",18,6
" ","7 years",15,9
" ","8 years",9,9
" ","9 years",18,6
" ","10 years",21,6
" ","11 years",6,0
" ","12 years",15,3
" ","13 years",12,6
" ","14 years",15,9
" ","15 years",21,9
" ","16 years",27,9
" ","17 years",36,15
" ","18 years",39,12
" ","19 years",54,15
" ","20 years",42,15
" ","21 years",42,9
" ","22 years",33,9
" ","23 years",36,6
" ","24 years",24,15
" ","25 years",24,15
" ","26 years",33,15
" ","27 years",27,12
" ","28 years",21,9
" ","29 years",27,9
" ","30 years",21,12
" ","31 years",24,12
" ","32 years",24,15
" ","33 years",21,15
" ","34 years",36,15
" ","35 years",42,12
" ","36 years",39,18
" ","37 years",33,21
" ","38 years",42,18
" ","39 years",45,24
" ","40 years",57,27
" ","41 years",45,36
" ","42 years",60,30
" ","43 years",48,42
" ","44 years",54,57
" ","45 years",81,36
" ","46 years",78,57
" ","47 years",99,69
" ","48 years",90,54
" ","49 years",105,72
" ","50 years",114,75
" ","51 years",111,69
" ","52 years",159,90
" ","53 years",165,99
" ","54 years",156,99
" ","55 years",165,99
" ","56 years",195,99
" ","57 years",207,108
" ","58 years",225,117
" ","59 years",240,123
" ","60 years",228,123
" ","61 years",210,153
" ","62 years",297,156
" ","63 years",273,141
" ","64 years",273,156
" ","65 years",309,195
" ","66 years",270,174
" ","67 years",312,204
" ","68 years",306,177
" ","69 years",288,183
" ","70 years",273,210
" ","71 years",264,192
" ","72 years",291,258
" ","73 years",312,255
" ","74 years",294,249
" ","75 years",324,279
" ","76 years",375,285
" ","77 years",288,285
" ","78 years",321,339
" ","79 years",324,336
" ","80 years",315,372
" ","81 years",249,291
" ","82 years",294,318
" ","83 years",273,297
" ","84 years",261,309
" ","85 years",225,300
" ","86 years",207,297
" ","87 years",204,261
" ","88 years",138,216
" ","89 years",132,207
" ","90 years",111,156
" ","91 years",66,111
" ","92 years",54,96
" ","93 years",42,75
" ","94 years",36,54
" ","95 years",39,48
" ","96 years",12,21
" ","97 years",15,24
" ","98 years",6,15
" ","99 years",3,9
" ","100 years and over",6,15
" ","Median age at death",68.0,74.5
1968,"Total all ages",13509,10956
" ","Neonatal",414,321
" ","Post-neonatal",258,171
" ","Infant",672,492
" ","1-4 years",141,114
" ","5-9 years",93,57
" ","10-14 years",66,33
" ","15-19 years",171,66
" ","20-24 years",186,54
" ","25-29 years",117,63
" ","30-34 years",120,81
" ","35-39 years",189,114
" ","40-44 years",279,168
" ","45-49 years",438,300
" ","50-54 years",636,408
" ","55-59 years",996,558
" ","60-64 years",1380,717
" ","65-69 years",1635,987
" ","70-74 years",1614,1311
" ","75-79 years",1707,1620
" ","80-84 years",1509,1731
" ","85-89 years",1146,1374
" ","90-94 years",363,552
" ","95-99 years",57,147
" ","100 years and over",6,6
" ","Less than 1 year",672,492
" ","1 year",51,48
" ","2 years",33,24
" ","3 years",30,24
" ","4 years",27,18
" ","5 years",18,15
" ","6 years",21,12
" ","7 years",21,12
" ","8 years",21,9
" ","9 years",9,12
" ","10 years",12,6
" ","11 years",21,3
" ","12 years",9,6
" ","13 years",15,6
" ","14 years",6,9
" ","15 years",24,21
" ","16 years",24,15
" ","17 years",42,12
" ","18 years",42,9
" ","19 years",39,15
" ","20 years",51,9
" ","21 years",45,15
" ","22 years",33,15
" ","23 years",27,6
" ","24 years",27,9
" ","25 years",15,6
" ","26 years",30,15
" ","27 years",30,15
" ","28 years",24,12
" ","29 years",21,18
" ","30 years",24,18
" ","31 years",18,15
" ","32 years",24,15
" ","33 years",30,15
" ","34 years",27,21
" ","35 years",30,18
" ","36 years",39,18
" ","37 years",30,21
" ","38 years",45,27
" ","39 years",42,27
" ","40 years",48,24
" ","41 years",45,30
" ","42 years",48,42
" ","43 years",75,30
" ","44 years",60,39
" ","45 years",69,63
" ","46 years",75,60
" ","47 years",96,54
" ","48 years",96,72
" ","49 years",102,57
" ","50 years",93,54
" ","51 years",108,72
" ","52 years",120,84
" ","53 years",144,87
" ","54 years",171,114
" ","55 years",150,93
" ","56 years",180,111
" ","57 years",201,105
" ","58 years",207,111
" ","59 years",261,132
" ","60 years",258,102
" ","61 years",249,135
" ","62 years",270,159
" ","63 years",303,159
" ","64 years",300,162
" ","65 years",297,192
" ","66 years",285,156
" ","67 years",351,207
" ","68 years",396,228
" ","69 years",306,207
" ","70 years",324,237
" ","71 years",306,219
" ","72 years",354,255
" ","73 years",312,282
" ","74 years",315,321
" ","75 years",318,270
" ","76 years",354,321
" ","77 years",351,315
" ","78 years",351,363
" ","79 years",330,348
" ","80 years",336,339
" ","81 years",300,288
" ","82 years",318,360
" ","83 years",276,384
" ","84 years",279,360
" ","85 years",255,339
" ","86 years",276,282
" ","87 years",231,294
" ","88 years",207,237
" ","89 years",177,219
" ","90 years",111,174
" ","91 years",87,123
" ","92 years",69,117
" ","93 years",54,81
" ","94 years",39,57
" ","95 years",15,51
" ","96 years",15,36
" ","97 years",12,30
" ","98 years",12,21
" ","99 years",6,9
" ","100 years and over",6,9
" ","Median age at death",68.9,74.8
1969,"Total all ages",13326,10836
" ","Neonatal",420,258
" ","Post-neonatal",210,168
" ","Infant",633,426
" ","1-4 years",147,90
" ","5-9 years",93,48
" ","10-14 years",57,42
" ","15-19 years",171,60
" ","20-24 years",171,54
" ","25-29 years",126,54
" ","30-34 years",123,81
" ","35-39 years",156,114
" ","40-44 years",282,192
" ","45-49 years",444,318
" ","50-54 years",621,396
" ","55-59 years",1029,558
" ","60-64 years",1347,735
" ","65-69 years",1659,954
" ","70-74 years",1641,1281
" ","75-79 years",1674,1602
" ","80-84 years",1488,1776
" ","85-89 years",993,1302
" ","90-94 years",363,603
" ","95-99 years",90,138
" ","100 years and over",9,15
" ","Less than 1 year",630,426
" ","1 year",54,39
" ","2 years",42,18
" ","3 years",27,18
" ","4 years",27,12
" ","5 years",18,15
" ","6 years",30,6
" ","7 years",15,9
" ","8 years",15,6
" ","9 years",15,9
" ","10 years",6,3
" ","11 years",9,12
" ","12 years",15,9
" ","13 years",15,6
" ","14 years",9,12
" ","15 years",15,9
" ","16 years",27,9
" ","17 years",39,12
" ","18 years",54,15
" ","19 years",36,9
" ","20 years",48,9
" ","21 years",36,12
" ","22 years",33,12
" ","23 years",33,6
" ","24 years",18,9
" ","25 years",24,9
" ","26 years",24,9
" ","27 years",30,12
" ","28 years",24,9
" ","29 years",24,9
" ","30 years",21,9
" ","31 years",24,21
" ","32 years",30,9
" ","33 years",21,15
" ","34 years",30,27
" ","35 years",27,12
" ","36 years",27,12
" ","37 years",33,21
" ","38 years",33,30
" ","39 years",39,39
" ","40 years",45,30
" ","41 years",54,36
" ","42 years",63,42
" ","43 years",60,42
" ","44 years",57,42
" ","45 years",69,60
" ","46 years",84,54
" ","47 years",90,51
" ","48 years",93,87
" ","49 years",108,66
" ","50 years",90,66
" ","51 years",102,66
" ","52 years",129,81
" ","53 years",150,66
" ","54 years",147,117
" ","55 years",192,93
" ","56 years",192,126
" ","57 years",183,96
" ","58 years",234,129
" ","59 years",228,114
" ","60 years",228,138
" ","61 years",264,144
" ","62 years",282,135
" ","63 years",267,189
" ","64 years",306,129
" ","65 years",327,189
" ","66 years",324,156
" ","67 years",306,156
" ","68 years",342,237
" ","69 years",363,219
" ","70 years",336,240
" ","71 years",330,198
" ","72 years",315,294
" ","73 years",330,270
" ","74 years",330,276
" ","75 years",369,306
" ","76 years",339,312
" ","77 years",303,288
" ","78 years",306,348
" ","79 years",360,345
" ","80 years",324,357
" ","81 years",315,354
" ","82 years",282,357
" ","83 years",291,351
" ","84 years",279,354
" ","85 years",243,312
" ","86 years",228,306
" ","87 years",201,234
" ","88 years",159,240
" ","89 years",162,210
" ","90 years",99,171
" ","91 years",87,135
" ","92 years",81,126
" ","93 years",60,105
" ","94 years",33,60
" ","95 years",36,42
" ","96 years",21,45
" ","97 years",15,27
" ","98 years",18,15
" ","99 years",6,9
" ","100 years and over",9,15
" ","Median age at death",68.9,75.1
1970,"Total all ages",13614,11226
" ","Neonatal",351,291
" ","Post-neonatal",240,159
" ","Infant",591,450
" ","1-4 years",135,96
" ","5-9 years",90,57
" ","10-14 years",87,45
" ","15-19 years",201,72
" ","20-24 years",186,69
" ","25-29 years",147,57
" ","30-34 years",141,66
" ","35-39 years",189,129
" ","40-44 years",309,189
" ","45-49 years",480,300
" ","50-54 years",606,423
" ","55-59 years",1035,564
" ","60-64 years",1422,750
" ","65-69 years",1779,1008
" ","70-74 years",1668,1317
" ","75-79 years",1662,1662
" ","80-84 years",1431,1737
" ","85-89 years",1011,1416
" ","90-94 years",354,639
" ","95-99 years",78,153
" ","100 years and over",9,21
" ","Less than 1 year",591,450
" ","1 year",63,51
" ","2 years",36,18
" ","3 years",21,18
" ","4 years",15,15
" ","5 years",18,15
" ","6 years",24,12
" ","7 years",21,15
" ","8 years",18,3
" ","9 years",12,9
" ","10 years",15,12
" ","11 years",12,9
" ","12 years",30,6
" ","13 years",18,9
" ","14 years",15,9
" ","15 years",21,9
" ","16 years",27,12
" ","17 years",45,21
" ","18 years",42,18
" ","19 years",60,12
" ","20 years",30,18
" ","21 years",54,18
" ","22 years",39,18
" ","23 years",27,12
" ","24 years",36,6
" ","25 years",36,12
" ","26 years",30,15
" ","27 years",30,6
" ","28 years",24,12
" ","29 years",30,12
" ","30 years",27,9
" ","31 years",15,18
" ","32 years",36,15
" ","33 years",30,6
" ","34 years",33,15
" ","35 years",33,18
" ","36 years",33,15
" ","37 years",36,24
" ","38 years",42,33
" ","39 years",45,39
" ","40 years",48,36
" ","41 years",63,33
" ","42 years",54,48
" ","43 years",60,36
" ","44 years",84,36
" ","45 years",84,63
" ","46 years",81,60
" ","47 years",99,54
" ","48 years",105,51
" ","49 years",111,75
" ","50 years",87,72
" ","51 years",117,66
" ","52 years",111,90
" ","53 years",141,87
" ","54 years",147,108
" ","55 years",183,93
" ","56 years",210,99
" ","57 years",192,111
" ","58 years",219,144
" ","59 years",231,120
" ","60 years",276,144
" ","61 years",261,129
" ","62 years",270,153
" ","63 years",300,159
" ","64 years",312,171
" ","65 years",345,171
" ","66 years",351,195
" ","67 years",312,189
" ","68 years",333,207
" ","69 years",438,249
" ","70 years",372,252
" ","71 years",315,213
" ","72 years",342,246
" ","73 years",315,309
" ","74 years",327,294
" ","75 years",333,357
" ","76 years",354,339
" ","77 years",339,291
" ","78 years",309,336
" ","79 years",330,339
" ","80 years",318,360
" ","81 years",261,309
" ","82 years",309,339
" ","83 years",267,369
" ","84 years",276,366
" ","85 years",246,339
" ","86 years",210,315
" ","87 years",213,273
" ","88 years",189,252
" ","89 years",150,240
" ","90 years",123,189
" ","91 years",81,159
" ","92 years",75,114
" ","93 years",45,96
" ","94 years",30,75
" ","95 years",33,51
" ","96 years",21,39
" ","97 years",9,30
" ","98 years",9,21
" ","99 years",9,12
" ","100 years and over",9,21
" ","Median age at death",68.5,75.0
1971,"Total all ages",13413,10896
" ","Neonatal",378,309
" ","Post-neonatal",213,168
" ","Infant",591,474
" ","1-4 years",129,96
" ","5-9 years",78,42
" ","10-14 years",66,42
" ","15-19 years",186,69
" ","20-24 years",180,69
" ","25-29 years",120,63
" ","30-34 years",120,99
" ","35-39 years",165,105
" ","40-44 years",294,180
" ","45-49 years",432,309
" ","50-54 years",669,393
" ","55-59 years",1050,561
" ","60-64 years",1446,744
" ","65-69 years",1713,936
" ","70-74 years",1746,1233
" ","75-79 years",1557,1554
" ","80-84 years",1464,1701
" ","85-89 years",963,1437
" ","90-94 years",351,627
" ","95-99 years",81,141
" ","100 years and over",9,27
" ","Less than 1 year",591,474
" ","1 year",69,48
" ","2 years",24,21
" ","3 years",18,15
" ","4 years",21,12
" ","5 years",18,6
" ","6 years",18,9
" ","7 years",15,6
" ","8 years",12,9
" ","9 years",15,6
" ","10 years",6,6
" ","11 years",12,18
" ","12 years",9,3
" ","13 years",24,6
" ","14 years",15,12
" ","15 years",15,9
" ","16 years",24,15
" ","17 years",39,12
" ","18 years",63,21
" ","19 years",48,12
" ","20 years",33,18
" ","21 years",42,15
" ","22 years",36,15
" ","23 years",33,12
" ","24 years",36,9
" ","25 years",36,15
" ","26 years",21,15
" ","27 years",27,9
" ","28 years",15,9
" ","29 years",18,15
" ","30 years",27,27
" ","31 years",18,12
" ","32 years",27,15
" ","33 years",21,21
" ","34 years",27,24
" ","35 years",30,18
" ","36 years",21,15
" ","37 years",39,18
" ","38 years",39,30
" ","39 years",42,21
" ","40 years",48,42
" ","41 years",48,30
" ","42 years",63,27
" ","43 years",63,36
" ","44 years",66,42
" ","45 years",75,45
" ","46 years",87,57
" ","47 years",72,54
" ","48 years",99,69
" ","49 years",96,81
" ","50 years",105,81
" ","51 years",132,60
" ","52 years",126,84
" ","53 years",150,96
" ","54 years",150,75
" ","55 years",165,105
" ","56 years",180,99
" ","57 years",213,105
" ","58 years",219,126
" ","59 years",270,123
" ","60 years",297,135
" ","61 years",258,132
" ","62 years",282,141
" ","63 years",294,165
" ","64 years",315,171
" ","65 years",354,213
" ","66 years",348,159
" ","67 years",285,177
" ","68 years",372,183
" ","69 years",354,204
" ","70 years",342,222
" ","71 years",375,264
" ","72 years",339,204
" ","73 years",348,276
" ","74 years",345,270
" ","75 years",369,300
" ","76 years",291,309
" ","77 years",276,282
" ","78 years",327,315
" ","79 years",294,345
" ","80 years",303,315
" ","81 years",291,330
" ","82 years",306,324
" ","83 years",294,378
" ","84 years",264,357
" ","85 years",267,318
" ","86 years",213,342
" ","87 years",207,288
" ","88 years",150,243
" ","89 years",129,246
" ","90 years",114,189
" ","91 years",75,147
" ","92 years",63,117
" ","93 years",54,96
" ","94 years",42,81
" ","95 years",36,57
" ","96 years",21,33
" ","97 years",12,21
" ","98 years",6,18
" ","99 years",6,12
" ","100 years and over",12,30
" ","Median age at death",68.5,75.1
1972,"Total all ages",13293,11508
" ","Neonatal",369,267
" ","Post-neonatal",195,156
" ","Infant",567,423
" ","1-4 years",123,111
" ","5-9 years",54,54
" ","10-14 years",54,51
" ","15-19 years",219,93
" ","20-24 years",204,66
" ","25-29 years",117,60
" ","30-34 years",135,75
" ","35-39 years",156,102
" ","40-44 years",240,183
" ","45-49 years",432,282
" ","50-54 years",675,387
" ","55-59 years",993,555
" ","60-64 years",1452,810
" ","65-69 years",1692,1083
" ","70-74 years",1782,1353
" ","75-79 years",1611,1656
" ","80-84 years",1392,1800
" ","85-89 years",936,1437
" ","90-94 years",366,720
" ","95-99 years",81,171
" ","100 years and over",18,24
" ","Less than 1 year",567,423
" ","1 year",51,51
" ","2 years",36,24
" ","3 years",24,21
" ","4 years",9,15
" ","5 years",15,15
" ","6 years",9,9
" ","7 years",6,15
" ","8 years",12,12
" ","9 years",15,9
" ","10 years",6,9
" ","11 years",9,9
" ","12 years",12,9
" ","13 years",12,15
" ","14 years",9,9
" ","15 years",21,12
" ","16 years",45,15
" ","17 years",45,15
" ","18 years",60,30
" ","19 years",48,18
" ","20 years",63,18
" ","21 years",42,9
" ","22 years",33,12
" ","23 years",39,12
" ","24 years",27,15
" ","25 years",27,12
" ","26 years",18,6
" ","27 years",24,12
" ","28 years",24,15
" ","29 years",21,18
" ","30 years",30,12
" ","31 years",24,12
" ","32 years",27,15
" ","33 years",30,12
" ","34 years",21,21
" ","35 years",24,12
" ","36 years",30,15
" ","37 years",30,15
" ","38 years",33,30
" ","39 years",36,27
" ","40 years",42,21
" ","41 years",45,39
" ","42 years",48,39
" ","43 years",54,39
" ","44 years",51,45
" ","45 years",69,48
" ","46 years",72,51
" ","47 years",75,63
" ","48 years",114,66
" ","49 years",102,60
" ","50 years",111,75
" ","51 years",132,57
" ","52 years",126,87
" ","53 years",141,66
" ","54 years",159,99
" ","55 years",153,90
" ","56 years",198,102
" ","57 years",195,126
" ","58 years",216,114
" ","59 years",225,120
" ","60 years",240,117
" ","61 years",264,135
" ","62 years",294,174
" ","63 years",315,180
" ","64 years",333,204
" ","65 years",342,204
" ","66 years",309,186
" ","67 years",345,222
" ","68 years",333,234
" ","69 years",360,228
" ","70 years",324,246
" ","71 years",396,252
" ","72 years",387,321
" ","73 years",357,261
" ","74 years",318,270
" ","75 years",342,324
" ","76 years",342,354
" ","77 years",282,300
" ","78 years",333,330
" ","79 years",312,351
" ","80 years",285,339
" ","81 years",288,348
" ","82 years",267,375
" ","83 years",279,378
" ","84 years",270,360
" ","85 years",213,276
" ","86 years",213,360
" ","87 years",189,315
" ","88 years",189,258
" ","89 years",129,228
" ","90 years",108,204
" ","91 years",78,168
" ","92 years",84,153
" ","93 years",57,108
" ","94 years",36,93
" ","95 years",24,57
" ","96 years",24,48
" ","97 years",15,33
" ","98 years",12,18
" ","99 years",6,12
" ","100 years and over",15,27
" ","Median age at death",68.7,75.2
1973,"Total all ages",13929,11385
" ","Neonatal",369,225
" ","Post-neonatal",222,168
" ","Infant",591,393
" ","1-4 years",132,105
" ","5-9 years",81,48
" ","10-14 years",78,30
" ","15-19 years",249,90
" ","20-24 years",234,66
" ","25-29 years",150,60
" ","30-34 years",126,93
" ","35-39 years",168,120
" ","40-44 years",267,162
" ","45-49 years",489,267
" ","50-54 years",684,399
" ","55-59 years",1092,561
" ","60-64 years",1419,804
" ","65-69 years",1857,1071
" ","70-74 years",1917,1338
" ","75-79 years",1608,1623
" ","80-84 years",1350,1764
" ","85-89 years",936,1458
" ","90-94 years",408,720
" ","95-99 years",81,189
" ","100 years and over",6,21
" ","Less than 1 year",591,393
" ","1 year",54,42
" ","2 years",30,18
" ","3 years",30,21
" ","4 years",15,21
" ","5 years",15,6
" ","6 years",18,12
" ","7 years",18,9
" ","8 years",15,12
" ","9 years",15,9
" ","10 years",9,6
" ","11 years",12,6
" ","12 years",12,9
" ","13 years",18,9
" ","14 years",24,6
" ","15 years",33,18
" ","16 years",42,15
" ","17 years",51,15
" ","18 years",63,12
" ","19 years",63,27
" ","20 years",63,15
" ","21 years",57,12
" ","22 years",39,15
" ","23 years",45,12
" ","24 years",30,9
" ","25 years",39,6
" ","26 years",33,15
" ","27 years",30,12
" ","28 years",24,6
" ","29 years",24,18
" ","30 years",27,21
" ","31 years",27,15
" ","32 years",21,24
" ","33 years",21,15
" ","34 years",27,18
" ","35 years",24,24
" ","36 years",36,30
" ","37 years",36,21
" ","38 years",24,24
" ","39 years",42,21
" ","40 years",39,30
" ","41 years",45,24
" ","42 years",48,36
" ","43 years",66,39
" ","44 years",66,36
" ","45 years",78,45
" ","46 years",90,54
" ","47 years",87,51
" ","48 years",111,54
" ","49 years",126,66
" ","50 years",123,75
" ","51 years",129,69
" ","52 years",153,93
" ","53 years",138,78
" ","54 years",144,81
" ","55 years",174,102
" ","56 years",207,96
" ","57 years",204,99
" ","58 years",243,135
" ","59 years",264,129
" ","60 years",249,132
" ","61 years",258,141
" ","62 years",276,186
" ","63 years",312,162
" ","64 years",327,186
" ","65 years",360,186
" ","66 years",363,210
" ","67 years",366,195
" ","68 years",378,237
" ","69 years",387,243
" ","70 years",357,222
" ","71 years",363,195
" ","72 years",411,297
" ","73 years",426,321
" ","74 years",357,300
" ","75 years",354,303
" ","76 years",321,321
" ","77 years",324,300
" ","78 years",291,357
" ","79 years",321,342
" ","80 years",285,348
" ","81 years",261,342
" ","82 years",285,357
" ","83 years",258,363
" ","84 years",258,357
" ","85 years",225,351
" ","86 years",204,321
" ","87 years",198,270
" ","88 years",165,252
" ","89 years",144,264
" ","90 years",123,192
" ","91 years",108,180
" ","92 years",93,150
" ","93 years",51,120
" ","94 years",36,75
" ","95 years",39,63
" ","96 years",15,39
" ","97 years",9,42
" ","98 years",9,27
" ","99 years",6,18
" ","100 years and over",6,21
" ","Median age at death",68.3,75.3
1974,"Total all ages",13755,11505
" ","Neonatal",348,207
" ","Post-neonatal",207,159
" ","Infant",558,366
" ","1-4 years",108,96
" ","5-9 years",66,48
" ","10-14 years",87,51
" ","15-19 years",240,96
" ","20-24 years",201,66
" ","25-29 years",165,75
" ","30-34 years",150,72
" ","35-39 years",159,120
" ","40-44 years",264,201
" ","45-49 years",462,297
" ","50-54 years",711,444
" ","55-59 years",978,552
" ","60-64 years",1464,870
" ","65-69 years",1764,1023
" ","70-74 years",1956,1437
" ","75-79 years",1647,1605
" ","80-84 years",1317,1734
" ","85-89 years",963,1422
" ","90-94 years",408,735
" ","95-99 years",75,171
" ","100 years and over",6,27
" ","Less than 1 year",558,366
" ","1 year",39,36
" ","2 years",27,21
" ","3 years",27,24
" ","4 years",18,18
" ","5 years",12,12
" ","6 years",15,12
" ","7 years",15,6
" ","8 years",9,3
" ","9 years",18,15
" ","10 years",12,9
" ","11 years",6,9
" ","12 years",15,3
" ","13 years",21,15
" ","14 years",33,15
" ","15 years",30,12
" ","16 years",45,21
" ","17 years",42,24
" ","18 years",72,15
" ","19 years",54,18
" ","20 years",45,15
" ","21 years",45,18
" ","22 years",33,9
" ","23 years",30,9
" ","24 years",42,15
" ","25 years",48,12
" ","26 years",36,21
" ","27 years",30,9
" ","28 years",27,21
" ","29 years",27,15
" ","30 years",30,15
" ","31 years",24,18
" ","32 years",36,9
" ","33 years",36,15
" ","34 years",27,15
" ","35 years",30,24
" ","36 years",27,24
" ","37 years",33,24
" ","38 years",36,21
" ","39 years",39,30
" ","40 years",45,36
" ","41 years",39,36
" ","42 years",48,39
" ","43 years",63,57
" ","44 years",66,36
" ","45 years",66,54
" ","46 years",75,51
" ","47 years",96,60
" ","48 years",102,54
" ","49 years",120,78
" ","50 years",141,78
" ","51 years",123,69
" ","52 years",144,93
" ","53 years",150,90
" ","54 years",153,111
" ","55 years",174,84
" ","56 years",177,105
" ","57 years",192,123
" ","58 years",195,126
" ","59 years",237,111
" ","60 years",267,168
" ","61 years",261,168
" ","62 years",261,165
" ","63 years",306,174
" ","64 years",372,195
" ","65 years",366,201
" ","66 years",321,213
" ","67 years",321,189
" ","68 years",384,180
" ","69 years",375,237
" ","70 years",396,252
" ","71 years",351,270
" ","72 years",405,261
" ","73 years",399,330
" ","74 years",405,324
" ","75 years",366,261
" ","76 years",348,303
" ","77 years",315,324
" ","78 years",306,357
" ","79 years",312,363
" ","80 years",264,339
" ","81 years",249,348
" ","82 years",264,318
" ","83 years",261,366
" ","84 years",276,360
" ","85 years",258,312
" ","86 years",219,348
" ","87 years",183,264
" ","88 years",162,276
" ","89 years",141,225
" ","90 years",132,204
" ","91 years",81,168
" ","92 years",75,135
" ","93 years",54,129
" ","94 years",63,96
" ","95 years",27,72
" ","96 years",27,33
" ","97 years",6,30
" ","98 years",9,21
" ","99 years",6,12
" ","100 years and over",6,24
" ","Median age at death",68.7,74.8
1975,"Total all ages",13803,11310
" ","Neonatal",333,213
" ","Post-neonatal",204,156
" ","Infant",534,372
" ","1-4 years",132,108
" ","5-9 years",96,48
" ","10-14 years",66,45
" ","15-19 years",231,72
" ","20-24 years",207,78
" ","25-29 years",156,90
" ","30-34 years",135,96
" ","35-39 years",174,123
" ","40-44 years",252,162
" ","45-49 years",486,252
" ","50-54 years",738,417
" ","55-59 years",942,534
" ","60-64 years",1521,867
" ","65-69 years",1794,1020
" ","70-74 years",1974,1410
" ","75-79 years",1638,1518
" ","80-84 years",1290,1686
" ","85-89 years",942,1452
" ","90-94 years",387,732
" ","95-99 years",96,225
" ","100 years and over",9,21
" ","Less than 1 year",534,369
" ","1 year",42,48
" ","2 years",36,30
" ","3 years",27,9
" ","4 years",21,15
" ","5 years",24,6
" ","6 years",27,12
" ","7 years",18,12
" ","8 years",15,9
" ","9 years",15,9
" ","10 years",9,6
" ","11 years",9,9
" ","12 years",12,12
" ","13 years",21,9
" ","14 years",12,9
" ","15 years",21,15
" ","16 years",39,15
" ","17 years",48,15
" ","18 years",57,15
" ","19 years",66,12
" ","20 years",45,18
" ","21 years",60,12
" ","22 years",45,21
" ","23 years",42,15
" ","24 years",21,15
" ","25 years",18,15
" ","26 years",39,21
" ","27 years",27,15
" ","28 years",36,18
" ","29 years",36,21
" ","30 years",24,15
" ","31 years",27,12
" ","32 years",27,18
" ","33 years",33,18
" ","34 years",24,33
" ","35 years",39,18
" ","36 years",30,24
" ","37 years",27,18
" ","38 years",39,33
" ","39 years",39,30
" ","40 years",42,27
" ","41 years",48,24
" ","42 years",45,33
" ","43 years",51,36
" ","44 years",63,42
" ","45 years",78,51
" ","46 years",87,36
" ","47 years",93,48
" ","48 years",99,60
" ","49 years",132,54
" ","50 years",126,78
" ","51 years",126,66
" ","52 years",141,84
" ","53 years",165,87
" ","54 years",174,102
" ","55 years",174,102
" ","56 years",171,84
" ","57 years",171,99
" ","58 years",198,126
" ","59 years",228,117
" ","60 years",288,144
" ","61 years",264,156
" ","62 years",303,189
" ","63 years",336,195
" ","64 years",330,183
" ","65 years",336,192
" ","66 years",333,186
" ","67 years",342,207
" ","68 years",354,222
" ","69 years",429,207
" ","70 years",378,273
" ","71 years",363,234
" ","72 years",357,267
" ","73 years",414,285
" ","74 years",459,351
" ","75 years",363,303
" ","76 years",357,273
" ","77 years",300,282
" ","78 years",333,309
" ","79 years",288,351
" ","80 years",267,345
" ","81 years",246,294
" ","82 years",291,354
" ","83 years",255,306
" ","84 years",234,384
" ","85 years",240,357
" ","86 years",216,309
" ","87 years",174,285
" ","88 years",153,267
" ","89 years",162,231
" ","90 years",117,234
" ","91 years",90,165
" ","92 years",81,144
" ","93 years",60,108
" ","94 years",39,81
" ","95 years",36,78
" ","96 years",24,54
" ","97 years",15,39
" ","98 years",12,27
" ","99 years",9,24
" ","100 years and over",9,18
" ","Median age at death",68.6,74.9
1976,"Total all ages",13983,11472
" ","Neonatal",249,177
" ","Post-neonatal",186,150
" ","Infant",438,330
" ","1-4 years",108,84
" ","5-9 years",63,36
" ","10-14 years",72,48
" ","15-19 years",240,84
" ","20-24 years",240,72
" ","25-29 years",153,75
" ","30-34 years",132,69
" ","35-39 years",174,108
" ","40-44 years",246,195
" ","45-49 years",450,294
" ","50-54 years",702,399
" ","55-59 years",990,600
" ","60-64 years",1425,813
" ","65-69 years",1881,1080
" ","70-74 years",2097,1410
" ","75-79 years",1833,1665
" ","80-84 years",1308,1689
" ","85-89 years",918,1428
" ","90-94 years",414,705
" ","95-99 years",102,258
" ","100 years and over",6,33
" ","Less than 1 year",438,327
" ","1 year",30,36
" ","2 years",21,18
" ","3 years",30,18
" ","4 years",21,9
" ","5 years",18,9
" ","6 years",15,9
" ","7 years",9,3
" ","8 years",12,6
" ","9 years",9,6
" ","10 years",9,9
" ","11 years",12,12
" ","12 years",12,9
" ","13 years",15,15
" ","14 years",18,6
" ","15 years",21,15
" ","16 years",45,18
" ","17 years",63,21
" ","18 years",63,12
" ","19 years",51,18
" ","20 years",51,21
" ","21 years",54,9
" ","22 years",42,15
" ","23 years",39,15
" ","24 years",54,12
" ","25 years",33,12
" ","26 years",27,12
" ","27 years",30,18
" ","28 years",33,15
" ","29 years",27,21
" ","30 years",27,15
" ","31 years",24,12
" ","32 years",21,12
" ","33 years",30,15
" ","34 years",33,18
" ","35 years",21,18
" ","36 years",36,24
" ","37 years",42,21
" ","38 years",33,27
" ","39 years",42,18
" ","40 years",33,33
" ","41 years",48,33
" ","42 years",42,42
" ","43 years",54,45
" ","44 years",69,45
" ","45 years",69,57
" ","46 years",72,54
" ","47 years",84,48
" ","48 years",114,63
" ","49 years",108,69
