"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","65-69 years",1299,942
" ","70-74 years",1482,1116
" ","75-79 years",1332,1041
" ","80-84 years",924,948
" ","85-89 years",498,585
" ","90-94 years",144,237
" ","95-99 years",42,66
" ","100 years and over",6,9
" ","Less than 1 year",759,606
" ","1 year",90,75
" ","2 years",39,36
" ","3 years",33,24
" ","4 years",24,9
" ","5 years",15,15
" ","6 years",12,12
" ","7 years",9,9
" ","8 years",24,9
" ","9 years",12,12
" ","10 years",12,6
" ","11 years",12,9
" ","12 years",12,6
" ","13 years",6,9
" ","14 years",15,6
" ","15 years",15,6
" ","16 years",18,12
" ","17 years",21,18
" ","18 years",24,15
" ","19 years",36,15
" ","20 years",27,12
" ","21 years",24,15
" ","22 years",36,15
" ","23 years",18,24
" ","24 years",21,21
" ","25 years",27,15
" ","26 years",21,18
" ","27 years",15,12
" ","28 years",24,24
" ","29 years",15,24
" ","30 years",21,15
" ","31 years",21,24
" ","32 years",33,15
" ","33 years",24,27
" ","34 years",27,30
" ","35 years",30,27
" ","36 years",45,24
" ","37 years",27,33
" ","38 years",39,33
" ","39 years",39,30
" ","40 years",45,39
" ","41 years",21,24
" ","42 years",42,39
" ","43 years",42,39
" ","44 years",48,39
" ","45 years",51,48
" ","46 years",51,48
" ","47 years",51,54
" ","48 years",72,54
" ","49 years",84,54
" ","50 years",93,72
" ","51 years",81,36
" ","52 years",75,48
" ","53 years",90,81
" ","54 years",96,75
" ","55 years",114,66
" ","56 years",108,93
" ","57 years",114,93
" ","58 years",153,93
" ","59 years",138,108
" ","60 years",156,108
" ","61 years",144,126
" ","62 years",204,129
" ","63 years",192,141
" ","64 years",225,135
" ","65 years",273,177
" ","66 years",234,171
" ","67 years",243,195
" ","68 years",249,180
" ","69 years",297,222
" ","70 years",291,219
" ","71 years",255,168
" ","72 years",327,261
" ","73 years",303,234
" ","74 years",309,234
" ","75 years",279,204
" ","76 years",297,207
" ","77 years",222,195
" ","78 years",279,234
" ","79 years",255,201
" ","80 years",237,240
" ","81 years",192,177
" ","82 years",180,189
" ","83 years",156,162
" ","84 years",162,180
" ","85 years",132,150
" ","86 years",123,135
" ","87 years",102,114
" ","88 years",78,93
" ","89 years",66,87
" ","90 years",48,84
" ","91 years",30,54
" ","92 years",30,42
" ","93 years",24,30
" ","94 years",12,27
" ","95 years",15,15
" ","96 years",15,24
" ","97 years",6,6
" ","98 years",3,6
" ","99 years",3,6
" ","100 years and over",6,9
" ","Median age at death",68.0,69.7
1951,"Total all ages",10380,8460
" ","Neonatal",528,327
" ","Post-neonatal",291,231
" ","Infant",819,555
" ","1-4 years",180,147
" ","5-9 years",78,54
" ","10-14 years",51,36
" ","15-19 years",105,51
" ","20-24 years",150,66
" ","25-29 years",138,87
" ","30-34 years",138,96
" ","35-39 years",183,123
" ","40-44 years",240,174
" ","45-49 years",348,246
" ","50-54 years",456,348
" ","55-59 years",639,474
" ","60-64 years",960,687
" ","65-69 years",1332,894
" ","70-74 years",1524,1206
" ","75-79 years",1329,1233
" ","80-84 years",1002,1014
" ","85-89 years",513,636
" ","90-94 years",156,249
" ","95-99 years",36,63
" ","100 years and over",3,15
" ","Less than 1 year",819,555
" ","1 year",81,84
" ","2 years",48,18
" ","3 years",30,30
" ","4 years",21,15
" ","5 years",24,18
" ","6 years",18,12
" ","7 years",18,6
" ","8 years",9,9
" ","9 years",12,12
" ","10 years",12,12
" ","11 years",12,6
" ","12 years",6,3
" ","13 years",12,9
" ","14 years",6,9
" ","15 years",24,12
" ","16 years",12,6
" ","17 years",18,9
" ","18 years",24,12
" ","19 years",27,15
" ","20 years",30,18
" ","21 years",21,12
" ","22 years",30,15
" ","23 years",33,6
" ","24 years",30,15
" ","25 years",27,18
" ","26 years",27,15
" ","27 years",24,15
" ","28 years",30,18
" ","29 years",33,18
" ","30 years",27,21
" ","31 years",27,21
" ","32 years",24,18
" ","33 years",36,24
" ","34 years",27,18
" ","35 years",27,24
" ","36 years",33,24
" ","37 years",30,27
" ","38 years",48,21
" ","39 years",45,24
" ","40 years",33,27
" ","41 years",51,39
" ","42 years",54,36
" ","43 years",48,42
" ","44 years",54,33
" ","45 years",48,45
" ","46 years",69,39
" ","47 years",78,48
" ","48 years",66,51
" ","49 years",90,60
" ","50 years",75,75
" ","51 years",81,63
" ","52 years",96,63
" ","53 years",102,63
" ","54 years",99,87
" ","55 years",105,72
" ","56 years",99,114
" ","57 years",123,84
" ","58 years",150,93
" ","59 years",162,114
" ","60 years",159,123
" ","61 years",156,108
" ","62 years",222,144
" ","63 years",216,153
" ","64 years",213,165
" ","65 years",264,159
" ","66 years",237,177
" ","67 years",270,159
" ","68 years",270,198
" ","69 years",291,195
" ","70 years",339,231
" ","71 years",285,240
" ","72 years",294,255
" ","73 years",312,237
" ","74 years",294,240
" ","75 years",306,267
" ","76 years",294,252
" ","77 years",246,216
" ","78 years",228,255
" ","79 years",252,240
" ","80 years",216,222
" ","81 years",225,207
" ","82 years",210,195
" ","83 years",186,198
" ","84 years",165,195
" ","85 years",135,183
" ","86 years",120,156
" ","87 years",99,120
" ","88 years",81,105
" ","89 years",75,72
" ","90 years",36,75
" ","91 years",48,63
" ","92 years",39,51
" ","93 years",21,33
" ","94 years",15,24
" ","95 years",18,24
" ","96 years",9,9
" ","97 years",6,12
" ","98 years",3,9
" ","99 years",3,6
" ","100 years and over",3,15
" ","Median age at death",67.8,70.8
1952,"Total all ages",10329,8568
" ","Neonatal",444,402
" ","Post-neonatal",357,270
" ","Infant",804,672
" ","1-4 years",198,168
" ","5-9 years",78,60
" ","10-14 years",63,39
" ","15-19 years",93,42
" ","20-24 years",141,51
" ","25-29 years",147,78
" ","30-34 years",144,78
" ","35-39 years",189,144
" ","40-44 years",228,171
" ","45-49 years",324,258
" ","50-54 years",486,363
" ","55-59 years",603,444
" ","60-64 years",879,663
" ","65-69 years",1317,909
" ","70-74 years",1503,1206
" ","75-79 years",1392,1293
" ","80-84 years",1014,1002
" ","85-89 years",540,654
" ","90-94 years",156,201
" ","95-99 years",27,57
" ","100 years and over",6,12
" ","Less than 1 year",804,672
" ","1 year",93,84
" ","2 years",48,36
" ","3 years",30,30
" ","4 years",24,18
" ","5 years",18,15
" ","6 years",18,15
" ","7 years",15,12
" ","8 years",18,6
" ","9 years",9,12
" ","10 years",12,9
" ","11 years",15,9
" ","12 years",15,12
" ","13 years",9,6
" ","14 years",15,6
" ","15 years",18,6
" ","16 years",12,9
" ","17 years",24,12
" ","18 years",21,12
" ","19 years",21,6
" ","20 years",27,12
" ","21 years",33,6
" ","22 years",30,9
" ","23 years",24,12
" ","24 years",30,6
" ","25 years",18,15
" ","26 years",30,15
" ","27 years",39,15
" ","28 years",36,21
" ","29 years",24,15
" ","30 years",30,9
" ","31 years",27,18
" ","32 years",33,24
" ","33 years",27,12
" ","34 years",27,12
" ","35 years",33,33
" ","36 years",39,27
" ","37 years",33,24
" ","38 years",39,27
" ","39 years",42,30
" ","40 years",39,36
" ","41 years",45,30
" ","42 years",42,42
" ","43 years",42,33
" ","44 years",57,33
" ","45 years",60,45
" ","46 years",54,51
" ","47 years",57,54
" ","48 years",66,51
" ","49 years",84,54
" ","50 years",75,63
" ","51 years",78,60
" ","52 years",126,96
" ","53 years",102,78
" ","54 years",105,72
" ","55 years",90,81
" ","56 years",126,69
" ","57 years",111,90
" ","58 years",141,111
" ","59 years",135,93
" ","60 years",129,123
" ","61 years",138,105
" ","62 years",201,138
" ","63 years",207,135
" ","64 years",207,159
" ","65 years",246,171
" ","66 years",252,168
" ","67 years",270,195
" ","68 years",276,189
" ","69 years",273,186
" ","70 years",303,204
" ","71 years",285,219
" ","72 years",312,255
" ","73 years",312,261
" ","74 years",291,267
" ","75 years",318,276
" ","76 years",288,291
" ","77 years",276,249
" ","78 years",261,231
" ","79 years",249,252
" ","80 years",243,231
" ","81 years",228,189
" ","82 years",198,210
" ","83 years",177,186
