"Deaths by age and sex (Annual-Dec)","","",""
"","","Male","Female"
" ","60-64 years",951,717
" ","65-69 years",1392,915
" ","70-74 years",1656,1188
" ","75-79 years",1986,1611
" ","80-84 years",2508,2355
" ","85-89 years",2541,2958
" ","90-94 years",1509,2595
" ","95-99 years",411,1050
" ","100 years and over",48,201
" ","Less than 1 year",183,147
" ","1 year",12,15
" ","2 years",6,3
" ","3 years",9,3
" ","4 years",6,3
" ","5 years",6,0
" ","6 years",3,3
" ","7 years",9,3
" ","8 years",3,3
" ","9 years",3,3
" ","10 years",3,0
" ","11 years",3,0
" ","12 years",0,3
" ","13 years",3,6
" ","14 years",6,3
" ","15 years",12,3
" ","16 years",15,3
" ","17 years",21,12
" ","18 years",15,12
" ","19 years",24,6
" ","20 years",21,6
" ","21 years",21,9
" ","22 years",27,9
" ","23 years",21,6
" ","24 years",27,9
" ","25 years",21,12
" ","26 years",27,6
" ","27 years",24,21
" ","28 years",18,0
" ","29 years",12,9
" ","30 years",21,6
" ","31 years",18,6
" ","32 years",24,12
" ","33 years",27,15
" ","34 years",21,12
" ","35 years",24,9
" ","36 years",30,12
" ","37 years",36,24
" ","38 years",30,18
" ","39 years",33,15
" ","40 years",39,30
" ","41 years",36,33
" ","42 years",42,27
" ","43 years",45,39
" ","44 years",54,42
" ","45 years",48,45
" ","46 years",63,42
" ","47 years",72,48
" ","48 years",69,54
" ","49 years",90,54
" ","50 years",84,75
" ","51 years",108,72
" ","52 years",99,84
" ","53 years",129,90
" ","54 years",141,90
" ","55 years",126,93
" ","56 years",147,99
" ","57 years",129,108
" ","58 years",141,123
" ","59 years",162,132
" ","60 years",174,120
" ","61 years",183,123
" ","62 years",180,132
" ","63 years",201,171
" ","64 years",213,165
" ","65 years",234,174
" ","66 years",267,177
" ","67 years",324,189
" ","68 years",282,189
" ","69 years",285,189
" ","70 years",294,222
" ","71 years",276,225
" ","72 years",366,252
" ","73 years",396,234
" ","74 years",324,255
" ","75 years",384,288
" ","76 years",384,300
" ","77 years",384,324
" ","78 years",393,321
" ","79 years",444,378
" ","80 years",435,393
" ","81 years",459,426
" ","82 years",525,513
" ","83 years",525,486
" ","84 years",564,534
" ","85 years",534,561
" ","86 years",597,564
" ","87 years",543,627
" ","88 years",477,600
" ","89 years",393,600
" ","90 years",429,621
" ","91 years",345,567
" ","92 years",264,522
" ","93 years",252,471
" ","94 years",216,411
" ","95 years",132,285
" ","96 years",120,267
" ","97 years",78,210
" ","98 years",51,171
" ","99 years",33,114
" ","100 years and over",48,201
" ","Median age at death",78.1,83.2
2015,"Total all ages",15801,15807
" ","Neonatal",81,81
" ","Post-neonatal",48,42
" ","Infant",129,123
" ","1-4 years",30,24
" ","5-9 years",18,12
" ","10-14 years",24,15
" ","15-19 years",96,45
" ","20-24 years",132,48
" ","25-29 years",117,51
" ","30-34 years",111,66
" ","35-39 years",126,87
" ","40-44 years",213,156
" ","45-49 years",339,282
" ","50-54 years",516,420
" ","55-59 years",723,522
" ","60-64 years",990,669
" ","65-69 years",1401,1014
" ","70-74 years",1761,1242
" ","75-79 years",2052,1686
" ","80-84 years",2454,2358
" ","85-89 years",2562,2940
" ","90-94 years",1554,2697
" ","95-99 years",408,1113
" ","100 years and over",57,231
" ","Less than 1 year",129,123
" ","1 year",12,9
" ","2 years",6,6
" ","3 years",3,3
" ","4 years",6,6
" ","5 years",6,3
" ","6 years",3,3
" ","7 years",0,3
" ","8 years",3,3
" ","9 years",6,0
" ","10 years",3,0
" ","11 years",6,3
" ","12 years",3,3
" ","13 years",6,3
" ","14 years",6,6
" ","15 years",12,15
" ","16 years",6,6
" ","17 years",15,9
" ","18 years",27,9
" ","19 years",33,6
" ","20 years",21,9
" ","21 years",27,3
" ","22 years",24,9
" ","23 years",21,12
" ","24 years",39,12
" ","25 years",27,12
" ","26 years",18,9
" ","27 years",27,12
" ","28 years",21,15
" ","29 years",24,9
" ","30 years",18,12
" ","31 years",21,9
" ","32 years",24,12
" ","33 years",27,15
" ","34 years",21,18
" ","35 years",27,12
" ","36 years",27,21
" ","37 years",18,21
" ","38 years",24,21
" ","39 years",27,15
" ","40 years",33,27
" ","41 years",39,18
" ","42 years",48,36
" ","43 years",42,30
" ","44 years",51,42
" ","45 years",63,54
" ","46 years",60,48
" ","47 years",63,60
" ","48 years",84,66
" ","49 years",69,54
" ","50 years",87,69
" ","51 years",96,75
" ","52 years",96,96
" ","53 years",114,87
" ","54 years",123,99
" ","55 years",132,99
" ","56 years",147,102
" ","57 years",135,111
" ","58 years",159,96
" ","59 years",153,114
" ","60 years",180,105
" ","61 years",183,144
" ","62 years",195,126
" ","63 years",213,132
" ","64 years",219,159
" ","65 years",240,165
" ","66 years",288,174
" ","67 years",285,180
" ","68 years",300,267
" ","69 years",282,225
" ","70 years",300,234
" ","71 years",342,216
" ","72 years",315,204
" ","73 years",399,273
" ","74 years",405,315
" ","75 years",405,315
" ","76 years",423,297
" ","77 years",426,342
" ","78 years",399,369
" ","79 years",393,360
" ","80 years",462,378
" ","81 years",453,432
" ","82 years",474,501
" ","83 years",522,492
" ","84 years",540,558
" ","85 years",513,573
" ","86 years",549,585
" ","87 years",537,594
" ","88 years",501,576
" ","89 years",462,612
" ","90 years",423,633
" ","91 years",363,585
" ","92 years",297,519
" ","93 years",255,504
" ","94 years",216,456
" ","95 years",162,348
" ","96 years",87,258
" ","97 years",69,213
" ","98 years",51,180
" ","99 years",36,117
" ","100 years and over",54,231
" ","Median age at death",77.8,83.3
2016,"Total all ages",15789,15390
" ","Neonatal",66,69
" ","Post-neonatal",48,33
" ","Infant",111,102
" ","1-4 years",27,12
" ","5-9 years",21,18
" ","10-14 years",21,12
" ","15-19 years",87,39
" ","20-24 years",117,51
" ","25-29 years",132,57
" ","30-34 years",123,72
" ","35-39 years",135,84
" ","40-44 years",222,162
" ","45-49 years",339,255
" ","50-54 years",549,408
" ","55-59 years",801,558
" ","60-64 years",990,687
" ","65-69 years",1419,981
" ","70-74 years",1626,1182
" ","75-79 years",2058,1620
" ","80-84 years",2412,2178
" ","85-89 years",2559,2946
" ","90-94 years",1572,2583
" ","95-99 years",432,1155
" ","100 years and over",51,234
" ","Less than 1 year",111,99
" ","1 year",12,3
" ","2 years",6,6
" ","3 years",6,0
" ","4 years",3,0
" ","5 years",9,3
" ","6 years",3,3
" ","7 years",6,3
" ","8 years",3,3
" ","9 years",3,6
" ","10 years",0,0
" ","11 years",0,3
" ","12 years",3,3
" ","13 years",3,3
" ","14 years",9,6
" ","15 years",9,3
" ","16 years",12,6
" ","17 years",21,9
" ","18 years",21,6
" ","19 years",21,9
" ","20 years",18,12
" ","21 years",30,12
" ","22 years",21,6
" ","23 years",33,9
" ","24 years",18,15
" ","25 years",33,9
" ","26 years",30,15
" ","27 years",21,15
" ","28 years",24,6
" ","29 years",24,18
" ","30 years",21,18
" ","31 years",33,12
" ","32 years",27,15
" ","33 years",21,12
" ","34 years",24,15
" ","35 years",33,12
" ","36 years",36,18
" ","37 years",24,21
" ","38 years",21,18
" ","39 years",24,18
" ","40 years",39,27
" ","41 years",36,21
" ","42 years",39,36
" ","43 years",54,39
" ","44 years",57,39
" ","45 years",54,48
" ","46 years",51,42
" ","47 years",84,54
" ","48 years",72,51
" ","49 years",81,60
" ","50 years",87,75
" ","51 years",111,66
" ","52 years",93,66
" ","53 years",114,99
" ","54 years",138,102
" ","55 years",153,114
" ","56 years",162,108
" ","57 years",141,105
" ","58 years",168,117
" ","59 years",174,117
" ","60 years",168,135
" ","61 years",180,135
" ","62 years",222,129
" ","63 years",207,132
" ","64 years",216,159
" ","65 years",264,144
" ","66 years",252,162
" ","67 years",276,216
" ","68 years",291,213
" ","69 years",339,246
" ","70 years",300,201
" ","71 years",267,216
" ","72 years",321,249
" ","73 years",327,237
" ","74 years",408,276
" ","75 years",390,300
" ","76 years",381,291
" ","77 years",426,342
" ","78 years",435,333
" ","79 years",426,357
" ","80 years",462,393
" ","81 years",486,387
" ","82 years",450,432
" ","83 years",474,465
" ","84 years",537,501
" ","85 years",582,564
" ","86 years",504,573
" ","87 years",558,591
" ","88 years",465,618
" ","89 years",450,606
" ","90 years",459,606
" ","91 years",348,585
" ","92 years",300,552
" ","93 years",243,441
" ","94 years",222,399
" ","95 years",171,375
" ","96 years",102,333
" ","97 years",78,162
" ","98 years",45,156
" ","99 years",36,129
" ","100 years and over",48,234
" ","Median age at death",78.0,83.4
2017,"Total all ages",16848,16494
" ","Neonatal",78,66
" ","Post-neonatal",45,42
" ","Infant",120,108
" ","1-4 years",27,18
" ","5-9 years",15,15
" ","10-14 years",21,12
" ","15-19 years",81,48
" ","20-24 years",141,63
" ","25-29 years",159,60
" ","30-34 years",138,78
" ","35-39 years",156,108
" ","40-44 years",234,117
" ","45-49 years",369,261
" ","50-54 years",549,396
" ","55-59 years",768,579
" ","60-64 years",1077,747
" ","65-69 years",1422,1029
" ","70-74 years",1758,1368
" ","75-79 years",2280,1845
" ","80-84 years",2538,2328
" ","85-89 years",2745,3132
" ","90-94 years",1671,2745
" ","95-99 years",501,1230
