"Estimated Resident Population by Age and Sex (1991+) (Qrtly-Mar/Jun/Sep/Dec)","","",""
"","","As at",""
" "," ","Male","Female"
" ","47 Years",30290,32500
" ","48 Years",29990,32150
" ","49 Years",30350,31890
" ","50 Years",30520,32420
" ","51 Years",31420,33340
" ","52 Years",31670,34090
" ","53 Years",31340,33230
" ","54 Years",30420,32410
" ","55 Years",29370,31030
" ","56 Years",28610,30210
" ","57 Years",27740,29290
" ","58 Years",27170,28550
" ","59 Years",26240,27700
" ","60 Years",25500,26920
" ","61 Years",24630,26020
" ","62 Years",24200,25600
" ","63 Years",23740,24610
" ","64 Years",23280,24340
" ","65 Years",23150,23930
" ","66 Years",22800,23620
" ","67 Years",22670,23710
" ","68 Years",21890,22950
" ","69 Years",18680,19730
" ","70 Years",17080,18180
" ","71 Years",16060,16940
" ","72 Years",14790,15930
" ","73 Years",15640,16960
" ","74 Years",14880,16280
" ","75 Years",13090,14420
" ","76 Years",11720,13610
" ","77 Years",10940,12510
" ","78 Years",9960,11610
" ","79 Years",9090,10620
" ","80 Years",8610,10070
" ","81 Years",7740,9560
" ","82 Years",7190,9160
" ","83 Years",6860,8630
" ","84 Years",6400,8470
" ","85 Years",5460,7720
" ","86 Years",4760,6930
" ","87 Years",4120,6160
" ","88 Years",3490,5600
" ","89 Years",2820,4930
" ","90 Years",2250,4310
" ","91 Years",1740,3420
" ","92 Years",1300,2870
" ","93 Years",1030,2360
" ","94 Years",750,1850
" ","0-4 Years",157240,148780
" ","5-9 Years",160640,152470
" ","10-14 Years",151650,144430
" ","15-19 Years",162790,152850
" ","20-24 Years",173980,161430
" ","25-29 Years",153440,155330
" ","30-34 Years",139720,148550
" ","35-39 Years",133310,144050
" ","40-44 Years",150160,163960
" ","45-49 Years",152660,163520
" ","50-54 Years",155380,165490
" ","55-59 Years",139130,146780
" ","60-64 Years",121340,127490
" ","65-69 Years",109190,113950
" ","70-74 Years",78450,84290
" ","75-79 Years",54780,62770
" ","80-84 Years",36790,45890
" ","85-89 Years",20650,31330
" ","Under 15 Years",469500,445700
" ","Under 16 Years",501500,476000
" ","Under 18 Years",565500,536500
" ","Under 20 Years",632300,598500
" ","15-39 Years",763200,762200
" ","15-49 Years",1066100,1089700
" ","15-59 Years",1360600,1402000
" ","40-64 Years",718700,767200
" ","15-64 Years",1481900,1529400
" ","15 Years and Over",1790200,1886500
" ","16 Years and Over",1758100,1856200
" ","18 Years and Over",1694200,1795700
" ","20 Years and Over",1627400,1733700
" ","90-94 Years",7080,14810
" ","60 Years and Over",429600,484600
" ","65 Years and Over",308200,357100
" ","75 Years and Over",120600,158800
" ","80 Years and Over",65800,96100
" ","85 Years and Over",29000,50200
" ","90 Years and Over",8390,18830
" ","95 Years and Over",1300,4020
" ","Median Age (Years)",36.1,38.6
" ","Total All Ages",2259700,2332200
"2015Q2","0 Years",30350,28520
" ","1 Years",30350,28670
" ","2 Years",31400,29890
" ","3 Years",32020,30430
" ","4 Years",32540,31040
" ","5 Years",33360,31720
" ","6 Years",33280,30870
" ","7 Years",33060,31310
" ","8 Years",31880,30320
" ","9 Years",30340,29120
" ","10 Years",29980,28530
" ","11 Years",30160,28740
" ","12 Years",29980,28330
" ","13 Years",29880,28800
" ","14 Years",31360,29920
" ","15 Years",32200,30390
" ","16 Years",31620,29800
" ","17 Years",32340,30680
" ","18 Years",32580,30950
" ","19 Years",34130,31190
" ","20 Years",34710,31650
" ","21 Years",34560,31570
" ","22 Years",35130,32160
" ","23 Years",35270,32550
" ","24 Years",35200,33350
" ","25 Years",33840,32720
" ","26 Years",32170,31610
" ","27 Years",31000,31710
" ","28 Years",29900,30500
" ","29 Years",29070,30240
" ","30 Years",28470,30360
" ","31 Years",28560,30210
" ","32 Years",28440,30000
" ","33 Years",27870,29740
" ","34 Years",27700,29240
" ","35 Years",27190,29080
" ","36 Years",26830,29170
" ","37 Years",26280,28340
" ","38 Years",26880,28830
" ","39 Years",27010,28830
" ","40 Years",27880,30330
" ","41 Years",29050,31700
" ","42 Years",30140,32710
" ","43 Years",31310,34030
" ","44 Years",31570,34610
" ","45 Years",30940,33410
" ","46 Years",31090,33380
" ","47 Years",30590,32860
" ","48 Years",30080,32450
" ","49 Years",30140,31800
" ","50 Years",30470,32140
" ","51 Years",31310,33210
" ","52 Years",31620,33830
" ","53 Years",31550,33520
" ","54 Years",30660,32760
" ","55 Years",29640,31220
" ","56 Years",29150,30710
" ","57 Years",27690,29360
" ","58 Years",27240,28670
" ","59 Years",26540,27920
" ","60 Years",25620,27100
" ","61 Years",24960,26430
" ","62 Years",24130,25430
" ","63 Years",23800,24920
" ","64 Years",23360,24140
" ","65 Years",23100,24270
" ","66 Years",22840,23450
" ","67 Years",22630,23720
" ","68 Years",22450,23460
" ","69 Years",18770,19780
" ","70 Years",17460,18640
" ","71 Years",16580,17460
" ","72 Years",14420,15460
" ","73 Years",15670,17050
" ","74 Years",14970,16370
" ","75 Years",13560,14950
" ","76 Years",11770,13500
" ","77 Years",11040,12620
" ","78 Years",10100,11750
" ","79 Years",9180,10830
" ","80 Years",8550,10010
" ","81 Years",7870,9590
" ","82 Years",7100,9160
" ","83 Years",6820,8550
" ","84 Years",6480,8450
" ","85 Years",5450,7750
" ","86 Years",4860,6940
" ","87 Years",4120,6250
" ","88 Years",3500,5590
" ","89 Years",2810,4890
" ","90 Years",2330,4410
" ","91 Years",1720,3510
" ","92 Years",1350,2840
" ","93 Years",1040,2370
" ","94 Years",750,1830
" ","0-4 Years",156660,148550
" ","5-9 Years",161920,153340
" ","10-14 Years",151360,144310
" ","15-19 Years",162860,153010
" ","20-24 Years",174870,161290
" ","25-29 Years",155980,156780
" ","30-34 Years",141050,149540
" ","35-39 Years",134180,144250
" ","40-44 Years",149950,163370
" ","45-49 Years",152850,163890
" ","50-54 Years",155610,165460
" ","55-59 Years",140250,147890
" ","60-64 Years",121870,128020
" ","65-69 Years",109790,114680
" ","70-74 Years",79100,84990
" ","75-79 Years",55650,63650
" ","80-84 Years",36820,45760
" ","85-89 Years",20740,31420
" ","Under 15 Years",469900,446200
" ","Under 16 Years",502100,476600
" ","Under 18 Years",566100,537100
" ","Under 20 Years",632800,599200
" ","15-39 Years",769000,764900
" ","15-49 Years",1071800,1092100
" ","15-59 Years",1367600,1405500
" ","40-64 Years",720500,768600
" ","15-64 Years",1489500,1533500
" ","15 Years and Over",1800100,1893100
" ","16 Years and Over",1767900,1862700
" ","18 Years and Over",1704000,1802200
" ","20 Years and Over",1637300,1740100
" ","90-94 Years",7180,14960
" ","60 Years and Over",432500,487600
" ","65 Years and Over",310600,359600
" ","75 Years and Over",121800,159900
" ","80 Years and Over",66100,96300
" ","85 Years and Over",29300,50500
" ","90 Years and Over",8540,19080
" ","95 Years and Over",1370,4120
" ","Median Age (Years)",36.1,38.6
" ","Total All Ages",2270100,2339300
"2015Q3","0 Years",30340,28840
" ","1 Years",30320,28520
" ","2 Years",31140,29560
" ","3 Years",32050,30480
" ","4 Years",32570,30870
" ","5 Years",33390,31720
" ","6 Years",33290,31060
" ","7 Years",33140,31440
" ","8 Years",32540,30830
" ","9 Years",30590,29330
" ","10 Years",30010,28700
" ","11 Years",30340,28770
" ","12 Years",30030,28410
" ","13 Years",29940,28570
" ","14 Years",30980,29810
" ","15 Years",32520,30390
" ","16 Years",31670,30150
" ","17 Years",32330,30620
" ","18 Years",32710,31020
" ","19 Years",33990,31180
" ","20 Years",35180,31950
" ","21 Years",34780,31660
" ","22 Years",35390,32330
" ","23 Years",36050,32870
" ","24 Years",35620,33640
" ","25 Years",34800,33420
" ","26 Years",32970,32150
" ","27 Years",31820,32270
" ","28 Years",30780,31270
" ","29 Years",29400,30790
" ","30 Years",29280,30700
" ","31 Years",28760,30450
" ","32 Years",28700,30320
" ","33 Years",28390,29970
" ","34 Years",27990,29560
" ","35 Years",27670,29350
" ","36 Years",27210,29200
" ","37 Years",26560,28610
" ","38 Years",26830,28910
" ","39 Years",27150,28760
" ","40 Years",27770,30220
" ","41 Years",29030,31220
" ","42 Years",29680,32560
" ","43 Years",31310,33750
" ","44 Years",31840,34690
" ","45 Years",30990,33730
" ","46 Years",31260,33610
" ","47 Years",30850,32980
" ","48 Years",30300,32510
" ","49 Years",30190,31860
" ","50 Years",30370,32100
" ","51 Years",31190,32850
" ","52 Years",31710,33980
" ","53 Years",31610,33490
" ","54 Years",30930,33130
" ","55 Years",29960,31620
" ","56 Years",29180,30790
" ","57 Years",28070,29600
" ","58 Years",27380,28930
" ","59 Years",26880,28150
" ","60 Years",25710,27460
" ","61 Years",25280,26490
" ","62 Years",24150,25660
" ","63 Years",24020,25060
" ","64 Years",23480,24260
" ","65 Years",22970,24300
" ","66 Years",23020,23530
" ","67 Years",22540,23580
" ","68 Years",22680,23690
" ","69 Years",19450,20410
" ","70 Years",17840,19110
" ","71 Years",16520,17480
" ","72 Years",14730,15750
" ","73 Years",15440,16670
" ","74 Years",15030,16460
" ","75 Years",13890,15330
" ","76 Years",12080,13730
" ","77 Years",11170,12850
" ","78 Years",10070,11850
" ","79 Years",9360,11010
" ","80 Years",8570,9900
" ","81 Years",7990,9570
" ","82 Years",7020,9270
" ","83 Years",6720,8510
" ","84 Years",6440,8320
" ","85 Years",5540,7830
" ","86 Years",4870,6970
" ","87 Years",4120,6190
" ","88 Years",3520,5640
" ","89 Years",2850,4900
" ","90 Years",2300,4240
" ","91 Years",1740,3630
" ","92 Years",1370,2790
" ","93 Years",990,2420
" ","94 Years",770,1790
" ","0-4 Years",156410,148270
" ","5-9 Years",162950,154370
" ","10-14 Years",151300,144240
" ","15-19 Years",163220,153360
" ","20-24 Years",177010,162440
" ","25-29 Years",159770,159890
" ","30-34 Years",143130,151000
" ","35-39 Years",135430,144830
" ","40-44 Years",149640,162440
" ","45-49 Years",153590,164690
" ","50-54 Years",155810,165550
" ","55-59 Years",141460,149090
" ","60-64 Years",122640,128930
" ","65-69 Years",110670,115510
" ","70-74 Years",79570,85470
" ","75-79 Years",56570,64780
" ","80-84 Years",36750,45570
" ","85-89 Years",20900,31530
" ","Under 15 Years",470700,446900
" ","Under 16 Years",503200,477300
" ","Under 18 Years",567200,538100
" ","Under 20 Years",633900,600300
" ","15-39 Years",778600,771500
" ","15-49 Years",1081800,1098700
" ","15-59 Years",1379100,1413300
" ","40-64 Years",723100,770700
" ","15-64 Years",1501700,1542200
" ","15 Years and Over",1814700,1904100
" ","16 Years and Over",1782200,1873700
" ","18 Years and Over",1718200,1812900
" ","20 Years and Over",1651500,1750700
" ","90-94 Years",7160,14870
" ","60 Years and Over",435600,490800
" ","65 Years and Over",313000,361800
" ","75 Years and Over",122800,160900
" ","80 Years and Over",66200,96100
" ","85 Years and Over",29400,50500
" ","90 Years and Over",8530,18990
" ","95 Years and Over",1370,4120
" ","Median Age (Years)",36.0,38.5
" ","Total All Ages",2285300,2351000
"2015Q4","0 Years",30350,28790
" ","1 Years",30510,28570
" ","2 Years",30700,29280
" ","3 Years",32460,31020
" ","4 Years",32370,30610
" ","5 Years",33350,31590
" ","6 Years",33360,31230
" ","7 Years",33370,31430
" ","8 Years",32960,31220
" ","9 Years",30900,29750
" ","10 Years",30280,28850
" ","11 Years",30280,28680
" ","12 Years",30210,28610
" ","13 Years",29860,28340
" ","14 Years",30730,29660
" ","15 Years",32520,30520
" ","16 Years",31850,30410
" ","17 Years",31920,30130
" ","18 Years",32610,30960
" ","19 Years",33960,31250
" ","20 Years",35160,31750
" ","21 Years",34910,31840
" ","22 Years",35550,32300
" ","23 Years",36270,33050
" ","24 Years",36080,33720
" ","25 Years",35720,34080
" ","26 Years",33880,33180
" ","27 Years",32540,32680
" ","28 Years",31470,32170
" ","29 Years",30310,31190
" ","30 Years",29590,31120
" ","31 Years",29190,30940
" ","32 Years",29100,30590
" ","33 Years",29040,30600
" ","34 Years",28190,29550
" ","35 Years",27970,29720
" ","36 Years",27650,29400
" ","37 Years",26880,29030
" ","38 Years",26720,28850
" ","39 Years",27410,29020
" ","40 Years",27650,29660
" ","41 Years",28890,31090
" ","42 Years",29640,32280
" ","43 Years",31240,33600
" ","44 Years",31820,34440
" ","45 Years",31400,34170
" ","46 Years",31280,33600
" ","47 Years",31200,33430
" ","48 Years",30410,32500
" ","49 Years",30310,31900
" ","50 Years",30460,31990
" ","51 Years",30980,33020
" ","52 Years",31750,33720
" ","53 Years",31850,33740
" ","54 Years",31090,33090
" ","55 Years",30370,32300
" ","56 Years",29110,30800
" ","57 Years",28540,29960
" ","58 Years",27430,29160
" ","59 Years",27290,28390
" ","60 Years",25900,27580
" ","61 Years",25460,26710
" ","62 Years",24250,25790
" ","63 Years",24120,25410
" ","64 Years",23630,24170
" ","65 Years",23060,24560
" ","66 Years",23040,23520
" ","67 Years",22640,23570
" ","68 Years",22510,23600
" ","69 Years",20720,21530
" ","70 Years",18060,19410
" ","71 Years",16660,17710
" ","72 Years",15140,16110
" ","73 Years",14990,16260
" ","74 Years",15050,16450
" ","75 Years",14120,15620
" ","76 Years",12460,14060
" ","77 Years",11220,12890
" ","78 Years",10300,12120
" ","79 Years",9510,11200
" ","80 Years",8530,9990
" ","81 Years",8140,9680
" ","82 Years",7090,9120
" ","83 Years",6740,8570
" ","84 Years",6310,8240
" ","85 Years",5710,7850
" ","86 Years",4920,7020
" ","87 Years",4130,6350
" ","88 Years",3580,5480
" ","89 Years",2890,4960
" ","90 Years",2340,4270
" ","91 Years",1790,3610
" ","92 Years",1390,2860
" ","93 Years",1000,2360
" ","94 Years",770,1840
" ","0-4 Years",156400,148280
" ","5-9 Years",163940,155220
" ","10-14 Years",151360,144140
" ","15-19 Years",162850,153260
" ","20-24 Years",177980,162660
" ","25-29 Years",163920,163310
" ","30-34 Years",145110,152810
" ","35-39 Years",136620,146010
" ","40-44 Years",149250,161070
" ","45-49 Years",154600,165600
" ","50-54 Years",156120,165560
" ","55-59 Years",142740,150610
" ","60-64 Years",123370,129660
" ","65-69 Years",111980,116790
" ","70-74 Years",79910,85940
" ","75-79 Years",57610,65900
" ","80-84 Years",36800,45600
" ","85-89 Years",21230,31670
" ","Under 15 Years",471700,447600
" ","Under 16 Years",504200,478200
" ","Under 18 Years",568000,538700
" ","Under 20 Years",634500,600900
" ","15-39 Years",786500,778100
" ","15-49 Years",1090300,1104700
" ","15-59 Years",1389200,1420900
" ","40-64 Years",726100,772500
" ","15-64 Years",1512600,1550600
" ","15 Years and Over",1828800,1915600
" ","16 Years and Over",1796300,1885100
" ","18 Years and Over",1732500,1824600
" ","20 Years and Over",1665900,1762300
" ","90-94 Years",7280,14940
" ","60 Years and Over",439600,494700
" ","65 Years and Over",316200,365100
" ","75 Years and Over",124400,162300
" ","80 Years and Over",66800,96400
" ","85 Years and Over",30000,50800
" ","90 Years and Over",8720,19160
" ","95 Years and Over",1440,4220
" ","Median Age (Years)",36.0,38.5
" ","Total All Ages",2300500,2363200
"2016Q1","0 Years",30450,28890
" ","1 Years",30830,28700
" ","2 Years",30510,29070
" ","3 Years",32300,30860
" ","4 Years",32380,30710
" ","5 Years",33300,31520
" ","6 Years",33410,31690
" ","7 Years",33550,31080
" ","8 Years",33200,31650
" ","9 Years",31660,30140
" ","10 Years",30320,29110
" ","11 Years",30460,28750
" ","12 Years",30270,29030
" ","13 Years",30260,28420
" ","14 Years",30520,29370
" ","15 Years",32370,30730
" ","16 Years",32500,30880
" ","17 Years",32100,30100
" ","18 Years",32880,31220
" ","19 Years",33710,31240
" ","20 Years",35260,32030
" ","21 Years",35450,32140
" ","22 Years",35670,32220
" ","23 Years",36390,33310
" ","24 Years",36900,33870
" ","25 Years",36500,34910
" ","26 Years",34740,33780
" ","27 Years",33260,33000
" ","28 Years",32300,33270
" ","29 Years",30900,31550
" ","30 Years",30090,31450
" ","31 Years",29520,31430
" ","32 Years",29460,30780
" ","33 Years",29500,30890
" ","34 Years",28560,29990
" ","35 Years",28430,29870
" ","36 Years",28010,29690
" ","37 Years",27140,29290
" ","38 Years",26980,28980
" ","39 Years",27500,29200
" ","40 Years",27550,29350
" ","41 Years",28860,31040
" ","42 Years",29630,32170
" ","43 Years",31040,33430
" ","44 Years",31880,34300
" ","45 Years",31670,34430
" ","46 Years",31470,33720
" ","47 Years",31510,33570
" ","48 Years",30670,32650
" ","49 Years",30290,32210
" ","50 Years",30660,31990
" ","51 Years",30710,32590
" ","52 Years",31650,33440
" ","53 Years",31870,34150
" ","54 Years",31480,33300
" ","55 Years",30460,32430
" ","56 Years",29510,31110
" ","57 Years",28720,30260
" ","58 Years",27800,29420
" ","59 Years",27120,28500
" ","60 Years",26260,27740
" ","61 Years",25510,27000
" ","62 Years",24600,25980
" ","63 Years",24190,25560
" ","64 Years",23670,24540
" ","65 Years",23160,24220
" ","66 Years",23030,23780
" ","67 Years",22620,23450
" ","68 Years",22460,23490
" ","69 Years",21580,22690
" ","70 Years",18410,19480
" ","71 Years",16790,17930
" ","72 Years",15780,16660
" ","73 Years",14460,15680
" ","74 Years",15150,16670
" ","75 Years",14430,15900
" ","76 Years",12660,14100
" ","77 Years",11290,13290
" ","78 Years",10520,12110
" ","79 Years",9490,11200
" ","80 Years",8660,10220
" ","81 Years",8130,9700
" ","82 Years",7240,9080
" ","83 Years",6650,8680
" ","84 Years",6290,8110
" ","85 Years",5840,7880
" ","86 Years",4950,7130
" ","87 Years",4200,6330
" ","88 Years",3580,5560
" ","89 Years",2980,4980
" ","90 Years",2390,4310
" ","91 Years",1820,3690
" ","92 Years",1420,2880
" ","93 Years",1020,2400
" ","94 Years",810,1890
" ","0-4 Years",156470,148230
" ","5-9 Years",165130,156090
" ","10-14 Years",151820,144680
" ","15-19 Years",163560,154170
" ","20-24 Years",179670,163570
" ","25-29 Years",167690,166500
" ","30-34 Years",147130,154540
" ","35-39 Years",138060,147020
" ","40-44 Years",148960,160300
" ","45-49 Years",155610,166570
" ","50-54 Years",156370,165480
" ","55-59 Years",143610,151710
" ","60-64 Years",124220,130810
" ","65-69 Years",112850,117630
" ","70-74 Years",80590,86430
" ","75-79 Years",58380,66620
" ","80-84 Years",36970,45780
" ","85-89 Years",21540,31880
" ","Under 15 Years",473400,449000
" ","Under 16 Years",505800,479700
" ","Under 18 Years",570400,540700
" ","Under 20 Years",637000,603200
" ","15-39 Years",796100,785800
" ","15-49 Years",1100700,1112700
" ","15-59 Years",1400600,1429900
" ","40-64 Years",728800,774900
" ","15-64 Years",1524900,1560700
" ","15 Years and Over",1844100,1928500
" ","16 Years and Over",1811800,1897800
" ","18 Years and Over",1747200,1836800
" ","20 Years and Over",1680600,1774300
" ","90-94 Years",7460,15180
" ","60 Years and Over",443500,498600
" ","65 Years and Over",319300,367800
" ","75 Years and Over",125800,163800
" ","80 Years and Over",67500,97100
" ","85 Years and Over",30500,51400
" ","90 Years and Over",8940,19490
" ","95 Years and Over",1480,4300
" ","Median Age (Years)",36.0,38.4
" ","Total All Ages",2317600,2377500
"2016Q2","0 Years",30610,28790
" ","1 Years",30650,28900
" ","2 Years",30920,29060
" ","3 Years",31970,30460
" ","4 Years",32460,30880
" ","5 Years",32990,31400
" ","6 Years",33630,31990
" ","7 Years",33510,31080
" ","8 Years",33360,31560
" ","9 Years",32240,30590
" ","10 Years",30710,29430
" ","11 Years",30300,28830
" ","12 Years",30450,29080
" ","13 Years",30500,28640
" ","14 Years",30430,29200
" ","15 Years",31970,30490
" ","16 Years",32770,30940
" ","17 Years",32150,30340
" ","18 Years",32900,30960
" ","19 Years",33640,31530
" ","20 Years",35250,31800
" ","21 Years",35630,32260
" ","22 Years",35470,32150
" ","23 Years",36570,33150
" ","24 Years",36820,33860
" ","25 Years",36740,34770
" ","26 Years",35490,34330
" ","27 Years",33600,33250
" ","28 Years",32600,33430
" ","29 Years",31620,32000
" ","30 Years",30500,31640
" ","31 Years",29760,31760
" ","32 Years",29910,31270
" ","33 Years",29590,30900
" ","34 Years",28960,30520
" ","35 Years",28680,29850
" ","36 Years",28100,29740
" ","37 Years",27720,29740
" ","38 Years",27080,28910
" ","39 Years",27580,29270
" ","40 Years",27730,29240
" ","41 Years",28500,30750
" ","42 Years",29640,32070
" ","43 Years",30820,32950
" ","44 Years",31930,34330
" ","45 Years",32060,34850
" ","46 Years",31460,33560
" ","47 Years",31490,33560
" ","48 Years",31030,33030
" ","49 Years",30360,32510
" ","50 Years",30440,31890
" ","51 Years",30700,32330
" ","52 Years",31560,33280
" ","53 Years",31810,33960
" ","54 Years",31700,33550
" ","55 Years",30710,32800
" ","56 Years",29730,31300
" ","57 Years",29250,30770
" ","58 Years",27750,29450
" ","59 Years",27260,28700
" ","60 Years",26540,27930
" ","61 Years",25640,27220
" ","62 Years",24930,26400
" ","63 Years",24090,25420
" ","64 Years",23780,24830
" ","65 Years",23280,24050
" ","66 Years",22960,24090
" ","67 Years",22650,23280
" ","68 Years",22440,23510
" ","69 Years",22160,23170
" ","70 Years",18500,19550
" ","71 Years",17190,18370
" ","72 Years",16260,17180
" ","73 Years",14100,15210
" ","74 Years",15210,16740
" ","75 Years",14520,16050
" ","76 Years",13120,14640
" ","77 Years",11370,13180
" ","78 Years",10560,12220
" ","79 Years",9650,11340
" ","80 Years",8730,10420
" ","81 Years",8080,9630
" ","82 Years",7370,9150
" ","83 Years",6610,8690
" ","84 Years",6250,8090
" ","85 Years",5910,7850
" ","86 Years",4890,7160
" ","87 Years",4320,6360
" ","88 Years",3610,5620
" ","89 Years",3010,4990
" ","90 Years",2340,4240
" ","91 Years",1920,3740
" ","92 Years",1400,2970
" ","93 Years",1080,2360
" ","94 Years",800,1920
" ","0-4 Years",156610,148090
" ","5-9 Years",165750,156620
" ","10-14 Years",152400,145180
" ","15-19 Years",163430,154260
" ","20-24 Years",179740,163220
" ","25-29 Years",170050,167780
" ","30-34 Years",148730,156090
" ","35-39 Years",139170,147520
" ","40-44 Years",148610,159330
" ","45-49 Years",156400,167500
" ","50-54 Years",156220,165010
" ","55-59 Years",144690,153020
" ","60-64 Years",124970,131800
" ","65-69 Years",113490,118100
" ","70-74 Years",81260,87040
" ","75-79 Years",59210,67430
" ","80-84 Years",37030,45980
" ","85-89 Years",21740,31990
" ","Under 15 Years",474800,449900
" ","Under 16 Years",506700,480400
" ","Under 18 Years",571600,541700
" ","Under 20 Years",638200,604200
" ","15-39 Years",801100,788900
" ","15-49 Years",1106100,1115700
" ","15-59 Years",1407000,1433700
" ","40-64 Years",730900,776700
" ","15-64 Years",1532000,1565500
" ","15 Years and Over",1853800,1935700
" ","16 Years and Over",1821800,1905200
" ","18 Years and Over",1756900,1843900
" ","20 Years and Over",1690400,1781400
" ","90-94 Years",7540,15250
" ","60 Years and Over",446800,502000
" ","65 Years and Over",321800,370200
" ","75 Years and Over",127000,165000
" ","80 Years and Over",67800,97600
" ","85 Years and Over",30800,51600
" ","90 Years and Over",9040,19640
" ","95 Years and Over",1510,4390
" ","Median Age (Years)",36.0,38.4
" ","Total All Ages",2328500,2385600
"2016Q3","0 Years",30790,29160
" ","1 Years",30690,29210
" ","2 Years",30950,28970
" ","3 Years",31680,30130
" ","4 Years",32530,31010
" ","5 Years",33030,31320
" ","6 Years",33670,32020
" ","7 Years",33550,31290
" ","8 Years",33450,31680
" ","9 Years",32880,31110
" ","10 Years",31070,29660
" ","11 Years",30370,29050
" ","12 Years",30710,29130
" ","13 Years",30500,28730
" ","14 Years",30550,28990
" ","15 Years",31630,30490
" ","16 Years",33190,30980
" ","17 Years",32170,30720
" ","18 Years",32790,30900
" ","19 Years",33700,31470
" ","20 Years",35000,31790
" ","21 Years",35870,32410
" ","22 Years",35510,32290
" ","23 Years",36390,33200
" ","24 Years",37460,34020
" ","25 Years",36950,35000
" ","26 Years",36310,35000
" ","27 Years",34390,33740
" ","28 Years",33300,33880
" ","29 Years",32440,32750
" ","30 Years",30880,32150
" ","31 Years",30600,32060
" ","32 Years",30070,31620
" ","33 Years",29810,31210
" ","34 Years",29550,30860
" ","35 Years",28990,30220
" ","36 Years",28610,30020
" ","37 Years",28130,29790
" ","38 Years",27400,29190
" ","39 Years",27590,29400
" ","40 Years",27920,29200
" ","41 Years",28360,30630
" ","42 Years",29650,31600
" ","43 Years",30390,32820
" ","44 Years",31960,34100
" ","45 Years",32370,34900
" ","46 Years",31530,33900
" ","47 Years",31630,33790
" ","48 Years",31270,33150
" ","49 Years",30620,32580
" ","50 Years",30420,31970
" ","51 Years",30610,32280
" ","52 Years",31420,32920
" ","53 Years",31920,34100
" ","54 Years",31770,33590
" ","55 Years",31000,33120
" ","56 Years",30030,31670
" ","57 Years",29250,30890
" ","58 Years",28140,29700
" ","59 Years",27410,29010
" ","60 Years",26860,28110
" ","61 Years",25770,27540
" ","62 Years",25250,26500
" ","63 Years",24130,25670
" ","64 Years",23970,25010
" ","65 Years",23400,24170
" ","66 Years",22840,24160
" ","67 Years",22860,23380
" ","68 Years",22290,23330
" ","69 Years",22400,23410
" ","70 Years",19170,20180
" ","71 Years",17580,18830
" ","72 Years",16220,17210
" ","73 Years",14400,15460
" ","74 Years",15000,16380
" ","75 Years",14570,16130
" ","76 Years",13450,15020
" ","77 Years",11700,13370
" ","78 Years",10680,12490
" ","79 Years",9650,11460
" ","80 Years",8870,10580
" ","81 Years",8090,9540
" ","82 Years",7490,9140
" ","83 Years",6550,8810
" ","84 Years",6170,8040
" ","85 Years",5850,7770
" ","86 Years",4990,7230
" ","87 Years",4340,6380
" ","88 Years",3610,5570
" ","89 Years",3050,5010
" ","90 Years",2370,4280
" ","91 Years",1910,3640
" ","92 Years",1410,3060
" ","93 Years",1100,2320
" ","94 Years",760,1990
" ","0-4 Years",156630,148480
" ","5-9 Years",166590,157410
" ","10-14 Years",153210,145570
" ","15-19 Years",163470,154550
" ","20-24 Years",180230,163700
" ","25-29 Years",173390,170370
" ","30-34 Years",150910,157900
" ","35-39 Years",140720,148610
" ","40-44 Years",148280,158350
" ","45-49 Years",157420,168320
" ","50-54 Years",156130,164850
" ","55-59 Years",145830,154380
" ","60-64 Years",125980,132830
" ","65-69 Years",113800,118440
" ","70-74 Years",82360,88060
" ","75-79 Years",60050,68480
" ","80-84 Years",37170,46100
" ","85-89 Years",21840,31960
" ","Under 15 Years",476400,451500
" ","Under 16 Years",508100,481900
" ","Under 18 Years",573400,543600
" ","Under 20 Years",639900,606000
" ","15-39 Years",808700,795100
" ","15-49 Years",1114400,1121800
" ","15-59 Years",1416400,1441000
" ","40-64 Years",733600,778700
" ","15-64 Years",1542400,1573900
" ","15 Years and Over",1866700,1946600
" ","16 Years and Over",1835100,1916100
" ","18 Years and Over",1769700,1854400
" ","20 Years and Over",1703200,1792000
" ","90-94 Years",7550,15300
" ","60 Years and Over",450300,505600
" ","65 Years and Over",324300,372700
" ","75 Years and Over",128200,166200
" ","80 Years and Over",68100,97700
" ","85 Years and Over",31000,51600
" ","90 Years and Over",9110,19680
" ","95 Years and Over",1560,4380
" ","Median Age (Years)",35.9,38.4
" ","Total All Ages",2343100,2398100
"2016Q4","0 Years",30900,29280
" ","1 Years",30740,29170
" ","2 Years",31110,29110
" ","3 Years",31350,29810
" ","4 Years",32940,31550
" ","5 Years",32840,31060
" ","6 Years",33720,31940
" ","7 Years",33590,31480
" ","8 Years",33720,31700
" ","9 Years",33270,31530
" ","10 Years",31380,30080
" ","11 Years",30670,29180
" ","12 Years",30660,29050
" ","13 Years",30620,28960
" ","14 Years",30420,28780
" ","15 Years",31370,30270
" ","16 Years",33210,31130
" ","17 Years",32250,30840
" ","18 Years",32340,30470
" ","19 Years",33490,31340
" ","20 Years",34900,31890
" ","21 Years",35750,32170
" ","22 Years",35430,32520
" ","23 Years",36410,33110
" ","24 Years",37520,34250
" ","25 Years",37360,34940
" ","26 Years",37060,35530
" ","27 Years",35300,34680
" ","28 Years",34000,34260
" ","29 Years",33060,33750
