"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","Mean year ended",""
" "," ","Male","Female"
" ","79 Years",8790,10400
" ","80 Years",8130,10070
" ","81 Years",7870,9570
" ","82 Years",7500,9480
" ","83 Years",6630,8830
" ","84 Years",5960,8090
" ","85 Years",5290,7340
" ","86 Years",4600,6760
" ","87 Years",3800,6100
" ","88 Years",3180,5500
" ","89 Years",2530,4680
" ","90 Years",2020,3920
" ","91 Years",1570,3390
" ","92 Years",1220,2780
" ","93 Years",890,2130
" ","94 Years",560,1420
" ","0-4 Years",160230,151810
" ","5-9 Years",153670,146500
" ","10-14 Years",152190,144640
" ","15-19 Years",160100,152250
" ","20-24 Years",159630,156070
" ","25-29 Years",136270,142780
" ","30-34 Years",130150,141860
" ","35-39 Years",131710,145060
" ","40-44 Years",150310,166510
" ","45-49 Years",150330,161970
" ","50-54 Years",151540,161850
" ","55-59 Years",132390,139640
" ","60-64 Years",118080,123290
" ","65-69 Years",100330,104980
" ","70-74 Years",74270,80190
" ","75-79 Years",51040,58430
" ","80-84 Years",36090,46050
" ","85-89 Years",19400,30380
" ","Under 15 Years",466100,443000
" ","Under 16 Years",497600,472800
" ","Under 18 Years",561700,533600
" ","Under 20 Years",626200,595200
" ","15-39 Years",717900,738000
" ","15-49 Years",1018500,1066500
" ","15-59 Years",1302400,1368000
" ","40-64 Years",702600,753300
" ","15-64 Years",1420500,1491300
" ","15 Years and Over",1709100,1828800
" ","16 Years and Over",1677600,1798900
" ","18 Years and Over",1613500,1738100
" ","20 Years and Over",1549000,1676500
" ","90-94 Years",6270,13640
" ","60 Years and Over",406700,460800
" ","65 Years and Over",288600,337500
" ","75 Years and Over",114000,152300
" ","80 Years and Over",62900,93900
" ","85 Years and Over",26900,47800
" ","90 Years and Over",7460,17450
" ","95 Years and Over",1190,3800
" ","Median Age (Years)",36.4,38.5
" ","Total All Ages",2175200,2271700
2014,"0 Years",30030,28350
" ","1 Years",31040,29570
" ","2 Years",31670,30170
" ","3 Years",32390,30710
" ","4 Years",33010,31340
" ","5 Years",33060,30830
" ","6 Years",32860,31200
" ","7 Years",31650,30170
" ","8 Years",30110,28890
" ","9 Years",29820,28330
" ","10 Years",29880,28470
" ","11 Years",29570,28060
" ","12 Years",29600,28500
" ","13 Years",31030,29630
" ","14 Years",31800,29950
" ","15 Years",31210,29430
" ","16 Years",31860,30220
" ","17 Years",32070,30550
" ","18 Years",32820,30720
" ","19 Years",33270,31100
" ","20 Years",33390,31290
" ","21 Years",33580,31790
" ","22 Years",33720,31780
" ","23 Years",33610,32390
" ","24 Years",32340,31680
" ","25 Years",30920,30590
" ","26 Years",29700,30350
" ","27 Years",28580,29360
" ","28 Years",27750,29130
" ","29 Years",27340,29290
" ","30 Years",27310,29200
" ","31 Years",27560,29390
" ","32 Years",27010,29000
" ","33 Years",26770,28710
" ","34 Years",26420,28690
" ","35 Years",25990,28540
" ","36 Years",25630,28100
" ","37 Years",26160,28410
" ","38 Years",26450,28600
" ","39 Years",27400,30050
" ","40 Years",28490,31260
" ","41 Years",29490,32570
" ","42 Years",30740,33670
" ","43 Years",31020,34220
" ","44 Years",30550,33450
" ","45 Years",30670,33330
" ","46 Years",30200,32730
" ","47 Years",29830,32260
" ","48 Years",29980,31830
" ","49 Years",30240,32160
" ","50 Years",31120,33090
" ","51 Years",31470,33840
" ","52 Years",31340,33380
" ","53 Years",30590,32730
" ","54 Years",29550,31340
" ","55 Years",28850,30460
" ","56 Years",27780,29370
" ","57 Years",27350,28760
" ","58 Years",26610,27970
" ","59 Years",25570,27100
" ","60 Years",24940,26320
" ","61 Years",24170,25610
" ","62 Years",23900,24880
" ","63 Years",23440,24430
" ","64 Years",23180,24280
" ","65 Years",23080,23720
" ","66 Years",22880,23880
" ","67 Years",22500,23470
" ","68 Years",19380,20370
" ","69 Years",17760,18870
" ","70 Years",16620,17470
" ","71 Years",15120,16110
" ","72 Years",15890,17070
" ","73 Years",15330,16630
" ","74 Years",13920,15230
" ","75 Years",12320,13910
" ","76 Years",11440,12990
" ","77 Years",10500,12150
" ","78 Years",9650,11190
" ","79 Years",9030,10380
" ","80 Years",8340,10020
" ","81 Years",7660,9650
" ","82 Years",7350,9110
" ","83 Years",6960,8980
" ","84 Years",6060,8330
" ","85 Years",5400,7550
" ","86 Years",4720,6780
" ","87 Years",4050,6220
" ","88 Years",3320,5500
" ","89 Years",2720,4890
" ","90 Years",2140,4090
" ","91 Years",1670,3370
" ","92 Years",1280,2870
" ","93 Years",990,2290
" ","94 Years",700,1720
" ","0-4 Years",158140,150130
" ","5-9 Years",157500,149420
" ","10-14 Years",151880,144610
" ","15-19 Years",161240,152030
" ","20-24 Years",166640,158930
" ","25-29 Years",144290,148730
" ","30-34 Years",135060,145000
" ","35-39 Years",131630,143690
" ","40-44 Years",150290,165170
" ","45-49 Years",150910,162300
" ","50-54 Years",154070,164370
" ","55-59 Years",136160,143660
" ","60-64 Years",119640,125520
" ","65-69 Years",105600,110300
" ","70-74 Years",76870,82500
" ","75-79 Years",52940,60610
" ","80-84 Years",36370,46080
" ","85-89 Years",20220,30940
" ","Under 15 Years",467500,444200
" ","Under 16 Years",498700,473600
" ","Under 18 Years",562700,534400
" ","Under 20 Years",628800,596200
" ","15-39 Years",738900,748400
" ","15-49 Years",1040100,1075800
" ","15-59 Years",1330300,1383900
" ","40-64 Years",711100,761000
" ","15-64 Years",1449900,1509400
" ","15 Years and Over",1750000,1858000
" ","16 Years and Over",1718700,1828600
" ","18 Years and Over",1654800,1767800
" ","20 Years and Over",1588700,1706000
" ","90-94 Years",6780,14350
" ","60 Years and Over",419700,474200
" ","65 Years and Over",300000,348600
" ","75 Years and Over",117500,155800
" ","80 Years and Over",64600,95200
" ","85 Years and Over",28200,49100
" ","90 Years and Over",8020,18200
" ","95 Years and Over",1240,3850
" ","Median Age (Years)",36.3,38.6
" ","Total All Ages",2217500,2302200
2015,"0 Years",30390,28550
" ","1 Years",30260,28640
" ","2 Years",31420,29920
" ","3 Years",32050,30480
" ","4 Years",32690,31000
" ","5 Years",33270,31560
" ","6 Years",33280,31000
" ","7 Years",33040,31350
" ","8 Years",31880,30360
" ","9 Years",30350,29100
" ","10 Years",30070,28570
" ","11 Years",30130,28700
